,,,,,,,,,,,,
회사명,종목코드,사업연도,결산월,업종,업종별,주식배당,현금배당,,,,,
,,,,,배당율,(배당기준일),액면가,기말주식수,주당배당금,배당성향,총배당금액,시가배당률
아이케이세미콘,149010,2021,12,-,-,-,500,"3,120,000",100,16.865,"312,000,000",1.000
아이퀘스트,262840,2021,12,소프트웨어,0.32,-,100,"9,860,000",100,26.710 *,"941,000,000",1.000
아이큐어,175250,2021,12,제약,0.3,-,500,"18,892,263",-,-,-,-
아이크래프트,052460,2021,12,컴퓨터서비스,0.55,-,500,"14,607,936",50,25.442,"597,896,800",1.200
아이텍,119830,2021,12,반도체,0.42,-,500,"18,257,874",-,-,-,-
아이톡시,052770,2021,12,디지털컨텐츠,0.1,-,500,"19,633,933",-,-,-,-
아이티센,124500,2021,12,컴퓨터서비스,0.55,-,500,"19,907,333",-,-,-,-
아이티아이즈,372800,2021,12,소프트웨어,0.32,-,500,"5,776,980",-,-,-,-
아이티엠반도체,084850,2021,12,반도체,0.42,-,500,"23,123,264",200,71.298,"4,456,108,200",0.500
아이패밀리에스씨,114840,2021,12,화학,0.41,-,500,"4,120,276",65,7.348 *,"267,817,940",0.370
아주IB투자,027360,2021,12,금융,1.34,-,500,"120,822,956",100,29.984,"11,794,051,000",2.500
아주스틸,139990,2021,12,철강금속,2.09,-,500,"26,452,189",-,-,-,-
아즈텍WB,032080,2021,12,섬유·의류,0.7,-,500,"21,491,029",50,9.094 *,"1,049,501,450",1.519
아진산업,013310,2021,12,운송장비·부품,0.36,-,500,"38,806,582",-,-,-,-
아진엑스텍,059120,2021,12,반도체,0.42,-,500,"9,748,596",150,32.589 *,"1,398,735,000",1.400
아톤,158430,2021,12,소프트웨어,0.32,-,500,"4,353,577",-,-,-,-
아퓨어스,149300,2021,12,-,-,-,500,"34,517,309",-,-,-,-
아프리카TV,067160,2021,12,소프트웨어,0.32,-,500,"11,494,767",730,11.355,"8,046,902,420",0.400
안국약품,001540,2021,12,제약,0.3,-,500,"13,042,420",220,67.071,"2,511,143,580",2.100
안랩,053800,2021,12,소프트웨어,0.32,-,500,"10,013,855","1,100",22.728,"9,554,361,300",1.500
안지오랩,251280,2021,12,-,-,-,500,"2,711,900",-,-,-,-
안트로젠,065660,2021,12,유통,0.36,-,500,"9,421,845",-,-,-,-
알로이스,297570,2021,12,통신장비,0.28,-,100,"34,621,218",-,-,-,-
알루코,001780,2021,12,철강금속,2.09,-,500,"89,791,232",-,-,-,-
알리코제약,260660,2021,12,제약,0.3,-,500,"15,327,021",70,21.317 *,"1,050,937,370",0.930
알비더블유,361570,2021,12,오락·문화,0.04,-,500,"7,930,590",-,-,-,-
알서포트,131370,2021,12,디지털컨텐츠,0.1,-,100,"53,267,083",40,8.506,"2,085,643,000",0.500
알에스오토메이션,140670,2021,12,IT부품,0.36,-,500,"9,303,140",-,-,-,-
알에프세미,096610,2021,12,반도체,0.42,-,500,"10,474,399",-,-,-,-
알에프텍,061040,2021,12,통신장비,0.28,-,500,"32,089,259",-,-,-,-
알엔투테크놀로지,148250,2021,12,정보기기,0.73,-,500,"7,640,489",30,14.533 *,"227,591,940",0.200
알체라,347860,2021,12,소프트웨어,0.32,-,500,"13,720,283",-,-,-,-
알테오젠,196170,2021,12,기타서비스,0.5,-,500,"42,264,250",-,-,-,-
알톤스포츠,123750,2021,12,운송장비·부품,0.36,-,500,"12,746,297",-,-,-,-
알티캐스트,085810,2021,12,소프트웨어,0.32,-,500,"29,685,769",-,-,-,-
알파홀딩스,117670,2021,12,반도체,0.42,-,500,"21,804,082",-,-,-,-
압타머사이언스,291650,2021,12,기타서비스,0.5,-,500,"8,466,126",-,-,-,-
압타바이오,293780,2021,12,기타서비스,0.5,-,500,"22,196,466",-,-,-,-
앙츠,267810,2021,12,-,-,-,500,"1,547,000",-,-,-,-
애경산업,018250,2021,12,화학,1.1,-,"1,000","26,409,935",200,33.335,"5,241,985,000",1.050
애경케미칼,161000,2021,12,화학,1.1,-,500,"48,648,709",550,34.280,"26,494,752,350",4.900
애니젠,196300,2021,12,제약,0.3,-,500,"5,602,556",-,-,-,-
애니플러스,310200,2021,12,오락·문화,0.04,-,100,"29,397,849",-,-,-,-
애드바이오텍,179530,2021,12,-,-,-,500,"7,693,044",-,-,-,-
애머릿지,900100,2021,12,-,-,-,1,"31,249,629",-,-,-,-
액션스퀘어,205500,2021,12,디지털컨텐츠,0.1,-,500,"41,523,384",-,-,-,-
액토즈소프트,052790,2021,12,디지털컨텐츠,0.1,-,500,"11,330,638",-,-,-,-
액트로,290740,2021,12,IT부품,0.36,-,500,"10,065,011",100,33.030,"948,280,400",1.100
앤디포스,238090,2021,12,비금속,0.88,-,500,"23,605,146",-,-,-,-
앤씨앤,092600,2021,12,반도체,0.42,-,500,"22,610,149",-,-,-,-
앱코,129890,2021,12,정보기기,0.73,-,500,"9,833,482",-,-,-,-
앱클론,174900,2021,12,제약,0.3,-,500,"15,278,069",-,-,-,-
야스,255440,2021,12,IT부품,0.36,-,500,"13,058,000",50,30.946,"650,491,000",0.300
양지사,030960,2021,06,출판·매체복제,0.3,-,500,"15,980,000",50,52.110 *,"686,803,500",0.480
어보브반도체,102120,2021,12,반도체,0.42,-,500,"17,459,653",240,28.979,"3,972,195,840",1.720
어스앤에어로스페이스,263540,2021,12,운송장비·부품,0.36,-,500,"1,495,747",-,-,-,-
얼라인드,238120,2021,12,의료·정밀기기,0.32,-,500,"7,189,448",-,-,-,-
엄지하우스,224810,2021,12,-,-,-,500,"4,200,000",-,-,-,-
에너토크,019990,2021,12,기계·장비,0.53,-,500,"9,756,088",70,36.215,"666,359,190",0.650
에넥스,011090,2021,12,-,-,-,500,"59,991,641",-,-,-,-
에브리봇,270660,2021,12,일반전기전자,0.23,-,500,"6,095,671",350,22.515 *,"2,133,484,850",1.100
에스넷,038680,2021,12,컴퓨터서비스,0.55,-,500,"16,075,215",50,-9.153,"729,054,100",0.600
에스디바이오센서,137310,2021,12,의료정밀,0.79,-,500,"103,271,353","1,266",12.029,"128,045,095,956",2.300
에스디생명공학,217480,2021,12,화학,0.41,-,500,"22,415,066",-,-,-,-
에스디시스템,121890,2021,12,정보기기,0.73,-,500,"9,609,200",-,-,-,-
에스맥,097780,2021,12,IT부품,0.36,-,200,"283,520,250",-,-,-,-
에스씨디,042110,2021,12,일반전기전자,0.23,-,500,"48,329,564",30,20.916,"1,449,886,920",1.690
에스씨엠생명과학,298060,2021,12,제약,0.3,-,500,"12,021,854",-,-,-,-
에스아이리소스,065420,2021,12,-,-,-,100,"68,076,186",-,-,-,-
에스알바이오텍,270210,2021,12,-,-,-,500,"806,808",-,-,-,-
에스앤더블류,103230,2021,12,기계·장비,0.53,-,500,"7,200,000",-,-,-,-
에스앤디,260970,2021,12,음식료·담배,0.86,-,500,"4,059,420",150,7.915 *,"608,913,000",0.770
에스앤에스텍,101490,2021,12,반도체,0.42,-,500,"21,451,447",100,18.115,"2,083,027,000",0.300
에스에너지,095910,2021,12,IT부품,0.36,-,500,"19,396,669",-,-,-,-
에스에스알,275630,2021,12,소프트웨어,0.32,-,500,"6,017,989",-,-,-,-
에스에이엠티,031330,2021,12,유통,0.36,-,500,"99,995,067",200,32.588,"19,599,013,400",4.400
에스에이티,060540,2021,12,통신장비,0.28,-,500,"26,133,306",50,20.461,"1,306,646,700",1.600
에스에이티이엔지,351320,2021,12,IT부품,0.36,-,100,"20,345,886",59,-17.146,"1,200,394,884",1.160
에스에프에이,056190,2021,12,기계·장비,0.53,-,500,"35,908,760","1,170",28.092,"41,666,994,720",3.200
에스엔유,080000,2021,12,기계·장비,0.53,-,500,"34,322,870",-,-,-,-
에스엔피제네틱스,086460,2021,12,-,-,-,500,"1,823,850",-,-,-,-
에스엘,005850,2021,12,운수장비,1.02,-,500,"48,203,277",500,23.934,"23,027,731,000",1.600
에스엘바이오닉스,214310,2021,12,반도체,0.42,-,500,"4,579,603",-,-,-,-
에스엘에스바이오,246250,2021,12,-,-,-,500,"6,865,603",-,-,-,-
에스엠,041510,2021,12,오락·문화,0.04,-,500,"23,745,901",200,3.513,"4,680,243,200",0.300
에스엠벡셀,010580,2021,12,운수장비,1.02,-,500,"65,497,372",-,-,-,-
에스엠비나,299670,2021,12,-,-,-,100,"5,450,000",-,-,-,-
에스엠코어,007820,2021,12,기계·장비,0.53,-,500,"20,033,946",50,-173.304,"1,001,697,050",0.700
에스와이,109610,2021,12,금속,0.87,-,500,"47,251,809",-,-,-,-
에스원,012750,2021,12,서비스업,0.43,-,500,"37,999,178","2,500",65.528,"84,525,597,500",3.300
에스제이그룹,306040,2021,12,섬유·의류,0.7,-,500,"9,865,828",450,19.033,"4,407,180,300",2.100
에스제이엠,123700,2021,12,운수장비,1.02,-,500,"15,604,898",150,31.525,"2,340,734,700",3.120
에스제이엠홀딩스,025530,2021,12,유통업,1.59,-,500,"14,934,008",175,26.877,"2,371,598,425",4.700
에스제이켐,217910,2021,12,-,-,-,100,"12,990,522",-,-,-,-
에스케이바이오팜,326030,2021,12,서비스업,0.43,-,500,"78,313,250",-,-,-,-
에스케이씨에스,224020,2021,12,-,-,-,500,"3,449,586",-,-,-,-
에스케이증권7호스팩,408920,2021,12,-,-,-,-,-,-,-,-,-
에스코넥,096630,2021,12,IT부품,0.36,-,200,"66,167,999",-,-,-,-
에스텍,069510,2021,12,일반전기전자,0.23,-,500,"10,910,000",-,-,-,-
에스텍파마,041910,2021,12,제약,0.3,-,500,"11,898,263",100,16.992,"1,168,000,600",1.100
에스트래픽,234300,2021,12,소프트웨어,0.32,-,500,"20,826,160",-,-,-,-
에스티아이,039440,2021,12,반도체,0.42,-,500,"15,830,000",200,12.949,"3,003,720,000",1.000
에스티오,098660,2021,12,섬유·의류,0.7,-,500,"12,500,976",110,396.171,"1,335,097,280",4.300
에스티큐브,052020,2021,12,IT부품,0.36,-,500,"30,575,903",-,-,-,-
에스티팜,237690,2021,12,제약,0.3,-,500,"18,656,000",500,278.483,"9,404,387,500",-
에스폴리텍,050760,2021,12,화학,0.41,-,500,"16,334,678",50,15.087,"772,138,450",1.300
에스퓨얼셀,288620,2021,12,일반전기전자,0.23,-,500,"6,874,316",100,14.156,"687,431,600",0.300
에스피시스템스,317830,2021,12,기계·장비,0.53,-,100,"8,145,700",-,-,-,-
에스피지,058610,2021,12,IT부품,0.36,-,500,"22,177,360",250,23.704,"5,432,477,750",2.200
에쎈테크,043340,2021,12,기계·장비,0.53,-,500,"72,000,000",-,-,-,-
에쓰씨엔지니어링,023960,2021,12,건설업,1.63,-,500,"30,000,451",-,-,-,-
에어부산,298690,2021,12,운수창고업,0.4,-,"1,000","193,920,000",-,-,-,-
에이디엠코리아,187660,2021,12,기타서비스,0.5,-,100,"21,836,250",-,-,-,-
에이디칩스,054630,2021,12,기타제조,0.64,-,500,"79,709,461",-,-,-,-
에이디테크놀로지,200710,2021,12,반도체,0.42,-,500,"13,329,832",70,6.176,"923,931,050",0.300
에이루트,096690,2021,12,정보기기,0.73,-,500,"150,563,096",-,-,-,-
에이블씨엔씨,078520,2021,12,화학,1.1,-,500,"27,033,459",-,-,-,-
에이비엘바이오,298380,2021,12,제약,0.3,-,500,"47,123,275",-,-,-,-
에이비온,203400,2021,12,기타서비스,0.5,-,500,"18,754,137",-,-,-,-
에이비프로바이오,195990,2021,12,기계·장비,0.53,-,500,"252,875,826",-,-,-,-
에이스침대,003800,2021,12,기타제조,0.64,-,"1,000","11,090,000","1,330",16.786,"10,723,475,400",3.000
에이스테크,088800,2021,12,통신장비,0.28,-,500,"43,723,601",-,-,-,-
에이스토리,241840,2021,12,오락·문화,0.04,-,500,"9,531,760",-,-,-,-
에이에프더블류,312610,2021,12,일반전기전자,0.23,-,500,"20,256,888",-,-,-,-
에이엔피,015260,2021,12,전기전자,2.7,-,500,"22,336,409",-,-,-,-
에이원알폼,234070,2021,12,-,-,-,500,"3,433,810",-,-,-,-
에이치시티,072990,2021,12,기타서비스,0.5,0.0109637 / (2021-12-31),500,"6,995,611",70,4.619,"484,642,760",0.440
에이치앤비디자인,227100,2021,12,일반전기전자,0.23,-,500,"4,874,399",-,-,-,-
에이치엔에스하이텍,044990,2021,12,-,-,-,500,"7,511,064",100,7.300,"750,263,500",0.980
에이치엘사이언스,239610,2021,12,음식료·담배,0.86,-,500,"5,392,115",400,15.506,"2,098,616,000",1.100
에이치엠씨제4호스팩,353070,2021,12,금융,1.34,-,100,"4,310,000",-,-,-,-
에이치엠씨제5호스팩,353060,2021,12,금융,1.34,-,100,"5,115,000",-,-,-,-
에이치케이,044780,2021,12,기계·장비,0.53,-,500,"18,505,787",40,13.419,"733,735,320",1.800
에이치피오,357230,2021,12,음식료·담배,0.86,-,500,"19,938,160",300,14.401,"2,750,952,300",2.250
에이테크솔루션,071670,2021,12,기계·장비,0.53,-,500,"10,000,000",-,-,-,-
에이텍,045660,2021,12,정보기기,0.73,-,500,"8,260,000",100,13.204 *,"810,190,300",0.400
에이텍티앤,224110,2021,12,정보기기,0.73,-,500,"5,340,000",100,10.802,"526,175,900",0.400
에이트원,230980,2021,12,출판·매체복제,0.32,-,100,"59,116,184",-,-,-,-
에이티넘인베스트,021080,2021,12,금융,1.34,-,500,"48,000,000",200,14.436 *,"9,526,867,000",3.750
에이티세미콘,089530,2021,12,반도체,0.42,-,500,"30,962,842",-,-,-,-
에이팩트,200470,2021,12,반도체,0.42,-,500,"18,476,189",-,-,-,-
에이펙스인텍,207490,2021,12,-,-,-,500,"3,600,000",30,93.913 *,"108,000,000",0.400
에이프로,262260,2021,12,일반전기전자,0.23,-,500,"6,880,626",-,-,-,-
에이프로젠 H&G,109960,2021,12,유통,0.36,-,500,"178,695,217",-,-,-,-
에이프로젠 MED,007460,2021,12,기계,0.76,-,500,"199,155,230",-,-,-,-
에이프로젠제약,003060,2021,12,의약품,0.12,-,500,"398,575,767",-,-,-,-
에이프릴바이오,397030,2021,12,-,-,-,-,-,-,-,-,-
에이플러스에셋,244920,2021,12,금융업,2.61,-,500,"22,607,693",150,22.002,"3,391,153,950",1.660
에이피티씨,089970,2021,12,기계·장비,0.53,-,100,"23,700,595","1,200",55.639,"25,848,640,800",5.600
에치에프알,230240,2021,12,통신장비,0.28,-,500,"12,882,020",-,-,-,-
에코마케팅,230360,2021,12,기타서비스,0.5,-,100,"32,733,029",310,36.778,"9,972,480,080",1.790
에코바이오,038870,2021,12,기타서비스,0.5,-,500,"11,610,994",-,-,-,-
에코캡,128540,2021,12,운송장비·부품,0.36,-,100,"14,558,800",-,-,-,-
에코프로,086520,2021,12,IT부품,0.36,0.02 / (2021-12-31),500,"23,975,672",430,3.663,"10,216,871,380",0.380
에코프로비엠,247540,2021,12,일반전기전자,0.23,-,500,"21,919,466",920,21.487,"21,011,872,640",0.180
에코프로에이치엔,383310,2021,12,화학,0.41,-,500,"15,304,932",330,43.972,"5,050,627,560",0.440
에코플라스틱,038110,2021,12,운송장비·부품,0.36,-,500,"34,169,370",50,30.860,"1,675,373,450",1.700
에프알텍,073540,2021,12,통신장비,0.28,-,500,"11,400,000",-,-,-,-
에프앤가이드,064850,2021,12,기타서비스,0.5,-,500,"12,080,000",130,27.966,"1,529,450,000",1.220
에프앤리퍼블릭,064090,2021,12,유통,0.36,-,500,"10,989,409",-,-,-,-
에프에스티,036810,2021,12,반도체,0.42,-,500,"21,756,789",130,9.083,"2,562,729,780",0.500
에프엔씨엔터,173940,2021,12,오락·문화,0.04,-,500,"14,364,880",-,-,-,-
에프엔에스테크,083500,2021,12,기계·장비,0.53,-,500,"8,385,722",50,43.022,"400,104,900",0.400
엑사이엔씨,054940,2021,12,건설,1.48,-,500,"33,173,548",-,-,-,-
엑세스바이오,950130,2021,12,-,-,-,0,"36,315,527",-,-,-,-
엑셈,205100,2021,12,소프트웨어,0.32,-,100,"35,132,273",-,-,-,-
엑스큐어,070300,2021,12,소프트웨어,0.32,-,500,"7,366,074",-,-,-,-
엑시콘,092870,2021,12,반도체,0.42,-,500,"10,476,127",100,3.101,"1,055,131,335",0.720
엔바이오니아,317870,2021,12,기타제조,0.64,-,500,"7,683,055",-,-,-,-
엔브이에이치코리아,067570,2021,12,운송장비·부품,0.36,-,500,"32,824,712",100,16.734,"3,281,667,600",2.300
엔비티,236810,2021,12,기타서비스,0.5,-,100,"8,487,713",-,-,-,-
엔솔바이오사이언스,140610,2021,12,-,-,-,500,"9,604,404",-,-,-,-
엔시스,333620,2021,12,일반전기전자,0.23,-,100,"10,556,344",70,15.302,"738,943,590",0.400
엔시트론,101400,2021,12,반도체,0.42,-,500,"32,295,909",-,-,-,-
엔씨소프트,036570,2021,12,서비스업,0.43,-,500,"21,954,022","5,860",30.071,"119,001,592,540",0.900
엔에스,217820,2021,12,기계·장비,0.53,-,500,"11,513,237",-,-,-,-
엔에스엔,031860,2021,12,유통,0.36,-,500,"57,693,009",-,-,-,-
엔에스엠,238170,2021,12,-,-,-,500,"20,774,684",-,-,-,-
엔에스컴퍼니,224760,2021,12,-,-,-,500,"3,939,700",-,-,-,-
엔에이치스팩19호,380440,2021,12,금융업,2.61,-,100,"51,290,000",-,-,-,-
엔에이치스팩20호,391060,2021,12,금융,1.34,-,100,"25,500,000",-,-,-,-
엔에이치스팩22호,396770,2021,12,금융,1.34,-,100,"6,440,000",-,-,-,-
엔에이치스팩23호,422040,2021,12,-,-,-,-,-,-,-,-,-
엔에이치엔,181710,2021,12,서비스업,0.43,-,500,"19,565,025",-,-,-,-
엔에프씨,265740,2021,12,화학,0.41,-,100,"8,931,800",100,14.537,"893,180,000",0.800
엔젠바이오,354200,2021,12,기타서비스,0.5,-,"1,000","12,430,912",-,-,-,-
엔지브이아이,093510,2021,12,-,-,-,500,"6,020,000",-,-,-,-
엔지스테크널러지,208860,2021,12,소프트웨어,0.32,-,500,"11,443,863",-,-,-,-
엔지켐생명과학,183490,2021,12,제약,0.3,-,500,"8,331,345",-,-,-,-
엔케이,085310,2021,12,기계,0.76,-,500,"79,983,352",-,-,-,-
엔케이맥스,182400,2021,12,제약,0.3,-,500,"37,526,578",-,-,-,-
엔켐,348370,2021,12,화학,0.41,-,500,"15,195,692",-,-,-,-
엔텔스,069410,2021,12,소프트웨어,0.32,-,500,"10,244,824",-,-,-,-
엔투텍,227950,2021,12,기계·장비,0.53,-,100,"71,561,429",-,-,-,-
엔피,291230,2021,12,기타서비스,0.5,-,100,"39,999,808",-,-,-,-
엔피디,198080,2021,12,IT부품,0.36,-,500,"21,535,185",-,-,-,-
엔피씨,004250,2021,12,화학,1.1,-,500,"36,720,000",100,16.115,"4,219,167,705",1.000
엔피케이,048830,2021,12,화학,0.41,-,500,"18,723,923",30,28.127,"560,861,910",1.460
엘디티,096870,2021,12,반도체,0.42,-,500,"6,678,400",-,-,-,-
엘리비젼,276240,2021,12,-,-,-,500,"6,674,400",-,-,-,-
엘브이엠씨,900140,2021,12,-,-,-,0,"99,455,297",-,-,-,-
엘비루셈,376190,2021,12,반도체,0.42,-,500,"24,600,000",-,-,-,-
엘비세미콘,061970,2021,12,반도체,0.42,-,500,"43,784,592",50,5.714,"2,189,229,600",0.400
엘아이에스,138690,2021,12,반도체,0.42,-,500,"17,124,591",-,-,-,-
엘앤씨바이오,290650,2021,12,제약,0.3,-,500,"22,684,891",50,7.280,"1,134,244,550",0.140
엘앤에프,066970,2021,12,IT부품,0.36,-,500,"34,810,264",-,-,-,-
엘앤케이바이오,156100,2021,12,의료·정밀기기,0.32,-,500,"13,392,743",-,-,-,-
엘에스일렉트릭,010120,2021,12,전기전자,2.7,-,"5,000","30,000,000","1,000",34.375,"29,325,026,000",1.800
엘에이티,311060,2021,12,-,-,-,500,"2,554,510",-,-,-,-
엘엠에스,073110,2021,12,IT부품,0.36,-,500,"8,895,755",200,62.595,"1,284,450,800",2.200
엘오티베큠,083310,2021,12,반도체,0.42,-,500,"17,810,033",100,8.033,"1,662,578,800",0.600
엘컴텍,037950,2021,12,IT부품,0.36,-,500,"84,447,519",-,-,-,-
엘티씨,170920,2021,12,반도체,0.42,-,500,"8,019,363",-,-,-,-
엠게임,058630,2021,12,디지털컨텐츠,0.1,-,500,"19,543,877",-,-,-,-
엠로,058970,2021,12,소프트웨어,0.32,-,500,"5,426,060",-,-,-,-
엠벤처투자,019590,2021,12,금융,1.34,-,500,"78,398,843",-,-,-,-
엠브레인,169330,2021,06,기타서비스,0.45,-,500,"8,968,459",280,51.385,"2,511,168,520",3.200
엠씨넥스,097520,2021,12,전기전자,2.7,-,500,"17,973,432",500,22.567,"8,915,216,000",0.900
엠아이텍,179290,2021,12,의료·정밀기기,0.32,-,500,"31,509,018",80,20.333 *,"2,489,721,440",1.500
엠에스씨,009780,2021,12,음식료·담배,0.86,-,500,"17,600,000",60,6.862,"1,056,000,000",1.050
엠에스오토텍,123040,2021,12,운송장비·부품,0.36,-,500,"36,715,281",-,-,-,-
엠에프엠코리아,323230,2021,12,섬유·의류,0.7,-,100,"30,271,660",-,-,-,-
엠케이전자,033160,2021,12,반도체,0.42,-,500,"21,807,689",150,2.639,"3,133,265,250",0.800
엠투아이,347890,2021,12,정보기기,0.73,-,100,"16,798,204",250,41.080 *,"4,119,551,000",2.800
엠투엔,033310,2021,12,금속,0.87,-,500,"40,342,231",-,-,-,-
엠플러스,259630,2021,12,기계·장비,0.53,-,500,"11,483,315",-,-,-,-
엠피대산,065150,2021,12,유통,0.36,-,100,"125,282,405",-,-,-,-
연우,115960,2021,12,화학,0.41,-,500,"12,398,000",190,7.510,"1,981,803,500",0.900
연이비앤티,090740,2021,12,IT부품,0.36,-,500,"19,126,082",-,-,-,-
영림원소프트랩,060850,2021,12,소프트웨어,0.32,-,500,"8,131,000",110,17.987,"888,016,580",1.030
영보화학,014440,2021,12,화학,1.1,-,500,"20,000,000",100,55.682,"1,950,000,000",2.300
영신금속,007530,2021,12,금속,0.87,-,500,"19,174,452",-,-,-,-
영우디에스피,143540,2021,12,반도체,0.42,-,500,"44,599,895",-,-,-,-
영원무역,111770,2021,12,유통업,1.59,-,500,"44,311,468","1,000",13.122,"43,866,061,000",2.300
영원무역홀딩스,009970,2021,12,금융업,2.61,-,500,"13,635,592","2,000",5.194,"23,209,796,000",4.200
영진약품,003520,2021,12,의약품,0.12,-,500,"182,892,731",-,-,-,-
영창케미칼,112290,2021,12,-,-,-,-,-,-,-,-,-
영풍,000670,2021,12,철강금속,2.09,-,"5,000","1,842,040","10,000",10.115,"17,201,340,000",1.500
영풍정밀,036560,2021,12,기계·장비,0.53,-,500,"15,750,000",350,46.895 *,"5,512,500,000",3.800
영풍제지,006740,2021,12,종이목재,1.49,-,500,"22,200,000",40,11.081,"702,892,960",0.550
영화금속,012280,2021,12,운수장비,1.02,-,500,"53,394,505",-,-,-,-
영화테크,265560,2021,12,운송장비·부품,0.36,-,500,"10,690,180",50,20.937,"534,509,000",0.280
영흥,012160,2021,12,철강금속,2.09,-,500,"101,310,372",-,-,-,-
예림당,036000,2021,12,출판·매체복제,0.32,-,500,"23,034,277",-,-,-,-
예선테크,250930,2021,12,화학,0.41,-,100,"33,000,440",-,-,-,-
예스24,053280,2021,12,인터넷,0.89,-,500,"25,000,000",200,27.358,"4,997,130,400",2.300
예스코홀딩스,015360,2021,12,금융업,2.61,-,"5,000","6,000,000","2,250",36.140,"9,598,025,250",6.100
예스티,122640,2021,12,반도체,0.42,-,500,"17,291,129",-,-,-,-
오가닉티코스메틱,900300,2021,12,-,-,-,0,"120,337,029",-,-,-,-
오공,045060,2021,12,화학,0.41,-,500,"16,941,974",50,9.001,"847,098,700",1.200
오디텍,080520,2021,12,반도체,0.42,-,500,"11,746,609",100,26.550,"1,089,624,200",1.600
오뚜기,007310,2021,12,음식료품,1.34,-,"5,000","3,671,981","8,000",20.931,"27,205,232,000",1.700
오로라,039830,2021,12,기타서비스,0.5,-,500,"10,762,890",120,12.975,"1,230,445,680",1.270
오로스테크놀로지,322310,2021,12,기계·장비,0.53,-,500,"9,366,542",-,-,-,-
오르비텍,046120,2021,12,기타서비스,0.5,-,500,"24,968,430",-,-,-,-
오리엔탈정공,014940,2021,12,기계·장비,0.53,-,500,"45,573,661",-,-,-,-
오리엔트바이오,002630,2021,03,의약품,0.11,-,500,"118,570,046",-,-,-,-
오리엔트정공,065500,2021,12,운송장비·부품,0.36,-,500,"23,442,912",-,-,-,-
오리온,271560,2021,12,음식료품,1.34,-,500,"39,536,132",750,11.244,"29,646,591,750",0.700
오리온홀딩스,001800,2021,12,금융업,2.61,-,500,"62,645,422",650,14.693,"33,107,246,350",4.700
오리콤,010470,2021,12,기타서비스,0.5,-,"1,000","11,975,050",220,41.533,"2,553,041,700",3.400
오비고,352910,2021,12,소프트웨어,0.32,-,500,"11,444,824",-,-,-,-
오상자이엘,053980,2021,12,컴퓨터서비스,0.55,-,500,"17,747,882",-,-,-,-
오성첨단소재,052420,2021,12,IT부품,0.36,-,500,"72,167,316",-,-,-,-
오션브릿지,241790,2021,12,반도체,0.42,-,500,"10,002,634",300,19.884,"2,909,831,100",1.800
오션스톤,329020,2021,12,-,-,-,500,"800,000",-,-,-,-
오스코텍,039200,2021,12,제약,0.3,-,500,"30,206,525",-,-,-,-
오스테오닉,226400,2021,12,의료·정밀기기,0.32,-,500,"16,773,054",-,-,-,-
오스템,031510,2021,12,운송장비·부품,0.36,-,500,"28,000,000",20,-4.336,"533,000,000",0.900
오스템임플란트,048260,2021,12,의료·정밀기기,0.32,-,500,"14,285,717",300,13.668,"3,199,931,400",0.200
오이솔루션,138080,2021,12,통신장비,0.28,-,500,"10,624,095",300,22.158,"3,184,556,100",0.900
오킨스전자,080580,2021,12,반도체,0.42,-,500,"17,679,298",-,-,-,-
오텍,067170,2021,12,운송장비·부품,0.36,-,500,"15,391,605",130,"-1,526.910","1,862,829,930",1.200
오토앤,353590,2021,12,-,-,-,-,-,-,-,-,-
오파스넷,173130,2021,12,소프트웨어,0.32,-,500,"11,860,430",50,9.430,"587,589,600",1.300
오픈베이스,049480,2021,12,컴퓨터서비스,0.55,-,500,"31,422,383",15,9.301,"469,519,125",0.420
오하임아이엔티,309930,2021,12,유통,0.36,-,100,"20,933,030",-,-,-,-
올리패스,244460,2021,12,제약,0.3,-,500,"25,941,512",-,-,-,-
올릭스,226950,2021,12,기타서비스,0.5,-,500,"13,703,160",-,-,-,-
옴니시스템,057540,2021,12,의료·정밀기기,0.32,-,500,"46,449,355",-,-,-,-
옵투스제약,131030,2021,12,제약,0.3,-,500,"16,564,797",100,16.216 *,"1,604,126,100",1.500
옵트론텍,082210,2021,12,IT부품,0.36,-,500,"24,383,997",-,-,-,-
옵티시스,109080,2021,12,통신장비,0.28,-,500,"5,636,000",100,8.433 *,"488,840,200",0.500
옵티팜,153710,2021,12,제약,0.3,-,500,"14,589,458",-,-,-,-
와이더플래닛,321820,2021,12,출판·매체복제,0.32,-,500,"6,897,482",-,-,-,-
와이솔,122990,2021,12,반도체,0.42,-,500,"28,186,941",250,25.588,"6,917,883,250",2.300
와이아이케이,232140,2021,12,반도체,0.42,-,100,"82,045,350",-,-,-,-
와이어블,065530,2021,12,통신서비스,0.68,-,500,"52,860,000",50,95.101 *,"2,390,837,950",1.600
와이엔텍,067900,2021,12,기타서비스,0.5,-,500,"18,199,659",-,-,-,-
와이엠씨,155650,2021,12,IT부품,0.36,-,500,"19,974,358",150,23.762,"2,806,070,700",1.700
와이엠텍,273640,2021,12,일반전기전자,0.23,-,500,"5,483,000",400,34.024 *,"2,193,200,000",1.100
와이엠티,251370,2021,12,화학,0.41,-,500,"14,954,978",75,7.989,"1,121,623,350",0.300
와이오엠,066430,2021,12,유통,0.36,-,500,"16,410,366",-,-,-,-
와이제이엠게임즈,193250,2021,12,IT부품,0.36,-,100,"57,183,559",-,-,-,-
