,,,,,,,,,,,,
회사명,종목코드,사업연도,결산월,업종,업종별,주식배당,현금배당,,,,,
,,,,,배당율,(배당기준일),액면가,기말주식수,주당배당금,배당성향,총배당금액,시가배당률
KB오토시스,024120,2021,12,운송장비·부품,0.36,-,500,"11,500,000",120,-340.741,"1,380,000,000",1.800
KCC건설,021320,2021,12,건설,1.48,-,"5,000","21,400,000",180,7.608 *,"3,590,178,480",2.200
KCI,036670,2021,12,화학,0.41,-,500,"11,270,000",200,21.192 *,"2,152,040,000",2.170
KC그린홀딩스,009440,2021,12,금융업,2.61,-,500,"22,434,980",70,15.813,"1,548,748,600",1.680
KC산업,112190,2021,12,-,-,-,500,"7,125,253",-,-,-,-
KC코트렐,119650,2021,12,기계,0.76,-,500,"17,600,000",-,-,-,-
KD,044180,2021,12,건설,1.48,-,500,"23,281,243",-,-,-,-
KEC,092220,2021,12,전기전자,2.7,-,500,"144,718,141",-,-,-,-
KG ETS,151860,2021,12,기타서비스,0.5,-,500,"36,000,000",120,2.243,"4,320,000,000",0.800
KG모빌리언스,046440,2021,12,소프트웨어,0.32,-,500,"38,825,568",220,27.784,"8,162,664,840",1.770
KG스틸,016380,2021,12,철강금속,2.09,-,"5,000","100,008,897",100,5.248,"10,008,137,250",0.900
KG이니시스,035600,2021,12,소프트웨어,0.32,-,500,"27,904,434",400,17.148,"10,647,395,200",2.100
KG케미칼,001390,2021,12,화학,1.1,-,"5,000","13,866,096",500,2.446,"6,897,974,000",1.600
KH 건설,226360,2021,12,건설,1.48,-,100,"71,353,755",-,-,-,-
KH 전자,111870,2021,12,일반전기전자,0.23,-,500,"110,941,315",-,-,-,-
KH 필룩스,033180,2021,12,전기전자,2.7,-,500,"136,730,264",-,-,-,-
KH바텍,060720,2021,12,IT부품,0.36,-,500,"23,677,442",300,20.549,"6,803,232,600",1.200
KISCO홀딩스,001940,2021,12,철강금속,2.09,-,"1,000","18,476,380",400,3.107,"5,541,826,000",2.700
KNN,058400,2021,12,방송서비스,0.89,-,500,"132,429,720",20,28.808,"2,648,594,400",1.510
KPX생명과학,114450,2021,12,제약,0.3,-,500,"15,000,000",-,-,-,-
KPX케미칼,025000,2021,12,화학,1.1,-,"5,000","4,840,000","2,750",26.553,"13,076,857,750",5.000
KPX홀딩스,092230,2021,12,화학,1.1,-,"5,000","4,224,646","3,000",14.326,"11,793,627,000",4.600
KR모터스,000040,2021,12,운수장비,1.02,-,500,"96,137,368",-,-,-,-
KSS해운,044450,2021,12,운수창고업,0.4,-,500,"23,185,880",350,14.019,"7,860,694,100",2.960
KTcs,058850,2021,12,서비스업,0.43,-,500,"42,685,000",100,21.089,"4,014,094,400",3.900
KTis,058860,2021,12,서비스업,0.43,-,500,"34,802,000",100,13.010 *,"3,245,191,900",3.990
KT서브마린,060370,2021,12,건설,1.48,-,"1,000","21,900,000",30,-19.372 *,"616,623,750",0.570
KX,122450,2021,12,방송서비스,0.89,-,500,"45,335,964",-,-,-,-
KX하이텍,052900,2021,12,반도체,0.42,-,500,"51,628,046",-,-,-,-
LF,093050,2021,12,섬유의복,0.53,-,"5,000","29,240,000",600,12.542,"17,076,000,000",3.500
LG,003550,2021,12,금융업,2.61,-,"5,000","157,300,993","2,800",16.725,"448,885,179,150",3.400
LG디스플레이,034220,2021,12,전기전자,2.7,-,"5,000","357,815,700",650,17.441,"232,580,205,000",2.820
LG생활건강,051900,2021,12,화학,1.1,-,"5,000","15,618,197","12,000",23.362,"201,177,340,950",1.100
LG에너지솔루션,373220,2021,12,-,-,-,-,-,-,-,-,-
LG유플러스,032640,2021,12,통신업,4.59,-,"5,000","436,611,361",550,32.803,"237,566,194,800",3.900
LG이노텍,011070,2021,12,전기전자,2.7,-,"5,000","23,667,107","3,000",7.992,"70,993,521,000",0.800
LG전자,066570,2021,12,전기전자,2.7,-,"5,000","163,647,814",850,10.878,"153,915,111,400",0.600
LG헬로비전,037560,2021,12,서비스업,0.43,-,"2,500","77,446,865",110,31.644,"8,519,155,150",2.000
LG화학,051910,2021,12,화학,1.1,-,"5,000","70,592,343","12,000",23.654,"935,275,013,950",1.900
LIG넥스원,079550,2021,12,기계,0.76,-,"5,000","22,000,000","1,200",24.895,"26,153,232,000",1.900
LS,006260,2021,12,금융업,2.61,-,"5,000","32,200,000","1,450",11.434,"40,262,252,950",2.700
LS네트웍스,000680,2021,12,유통업,1.59,-,"5,000","78,803,016",-,-,-,-
LS전선아시아,229640,2021,12,금융업,2.61,-,500,"30,624,879",240,45.707,"7,254,618,240",3.000
LX세미콘,108320,2021,12,반도체,0.42,-,500,"16,264,300","5,400",29.629,"87,827,220,000",3.400
LX인터내셔널,001120,2021,12,유통업,1.59,-,"5,000","38,760,000","2,300",15.310,"82,726,174,600",8.600
