,기업명,동향
951,엘티에스,0.57
952,세아특수강(유가),0.67
953,케이엠에이치,0.6
954,골프존,0.75
955,한국종합기술(유가),0.67
956,이퓨쳐,0.5
957,티케이케미칼,0.0
958,일진머티리얼즈(유가),0.59
959,부스타,0.62
960,현대위아(유가),0.67
961,나노신소재,0.64
962,케이아이엔엑스,0.62
963,티피씨,0.67
964,엘비세미콘,0.64
965,제이엔케이히터,0.7
966,딜리,0.78
967,블루콤,0.88
968,인트론바이오테크놀로지,0.86
969,중국고섬공고(유가),0.83
970,씨그널정보통신,1.0
971,다나와,1.0
972,인텍플러스,1.0
973,티에스이,1.0
975,두산엔진(유가),1.0
976,액트,0.73
977,대구도시가스(유가),0.76
978,현대HCN(유가),0.75
980,대정화금,0.79
981,케이티스(구.한국인포서비스)(유가),0.78
982,한전산업개발(유가),0.76
985,세우테크,0.81
986,코라오홀딩스(유가),0.8
987,대구방송,0.79
988,케이티롤,0.85
989,시그네틱스,0.83
990,한국전자인증,0.82
991,코프라,0.8
992,디케이락,0.78
994,아나패스,0.88
995,삼본정밀전자,0.86
996,케이엔엔,0.83
998,아이텍반도체,1.0
999,누리플랜,1.0
1000,인화정공,1.0
1001,코렌,1.0
1002,아이씨코리아,1.0
1004,휠라코리아(유가),0.6
1005,포메탈,0.58
1006,알파칩스,0.61
1007,케이티씨에스(구.한국인포데이타(유가),0.59
1008,성융광전투자,0.56
1009,다원시스,0.53
1010,현대홈쇼핑(유가),0.5
1012,씨젠,0.46
1013,와이솔,0.5
1017,대신증권그로쓰알파,0.55
1019,도화종합기술공사(유가),0.6
1020,엠에스오토텍,0.67
1021,이글루시큐리티,0.62
1022,아이마켓코리아(유가),0.71
1023,인터로조,0.67
1024,하이텍팜,0.8
1025,우진(유가),0.75
1026,웨이포트(홍콩),0.67
1027,크루셜텍,1.0
1028,에스디시스템,1.0
1031,웅진에너지(유가),0.73
1032,유비벨록스,0.71
1033,처음앤씨,0.69
1034,케이엔디티앤아이,0.75
1036,이연제약(유가),0.73
1037,솔라시아,0.8
1038,실리콘웍스,0.78
1039,투비소프트,0.88
1040,인피니트헬스케어(구.인피니트테,0.86
1042,모바일리더,0.83
1043,만도(유가),0.8
1044,삼성생명(유가),0.75
1046,동아체육용품유한공사,0.67
