,기업명,수요예측일,청약일
397,에스케이에이씨피씨스팩4호,2018.11.22,2018.11.28
398,대유에이피,2018.11.21,2018.11.28
399,교보스팩8호,2018.11.19,2018.11.27
400,하나머스트스팩6호,2018.11.15,2018.11.22
401,베스파,2018.11.15,2018.11.22
402,윙입푸드,2018.11.14,2018.11.22
403,티로보틱스,2018.11.14,2018.11.20
404,에코캡,2018.11.12,2018.11.20
405,티앤알바이오팹,2018.11.12,2018.11.16
406,엠아이텍,2018.11.12,2018.11.20
407,네오펙트,2018.11.12,2018.11.20
408,남화산업,2018.11.08,2018.11.16
409,싸이토젠,2018.11.08,2018.11.14
410,아시아나IDT,2018.11.07,2018.11.15
411,아주IB투자,2018.11.06,2018.11.14
412,디알젬,2018.11.05,2018.11.13
413,파멥신,2018.11.05,2018.11.13
414,디케이앤디,2018.11.02,2018.11.08
415,디자인,2018.11.01,2018.11.08
416,노바렉스,2018.10.30,2018.11.06
417,셀리버리,2018.10.22,2018.10.30
418,대보마그네틱,2018.10.18,2018.10.26
419,디비금융스팩6호,2018.10.17,2018.10.23
420,엘앤씨바이오,2018.10.16,2018.10.24
421,노바텍,2018.10.16,2018.10.24
422,옵티팜,2018.10.11,2018.10.17
423,로보티즈,2018.10.10,2018.10.18
424,에스퓨얼셀,2018.09.18,2018.10.02
425,크리스에프앤씨,2018.09.11,2018.09.18
426,푸드나무,2018.09.11,2018.09.19
427,나우아이비캐피탈,2018.09.10,2018.09.18
428,IBKS스팩10호,2018.09.10,2018.09.14
429,하나제약,2018.09.10,2018.09.18
430,지티지웰니스,2018.09.04,2018.09.13
431,우진아이엔에스,2018.08.30,2018.09.06
432,명성티엔에스,2018.08.29,2018.09.05
433,삼성스팩2호,2018.08.27,2018.09.04
434,디지캡,2018.08.22,2018.08.29
435,대신밸런스스팩5호,2018.08.16,2018.08.22
436,액트로,2018.08.09,2018.08.17
437,에이피티씨,2018.08.07,2018.08.14
438,오파스넷,2018.08.06,2018.08.14
439,바이오솔루션,2018.08.02,2018.08.10
440,대유,2018.07.24,2018.08.02
441,에스에스알,2018.07.19,2018.07.27
442,휴네시온,2018.07.19,2018.07.26
443,디아이티,2018.07.18,2018.07.26
444,티웨이항공,2018.07.17,2018.07.24
445,롯데정보통신,2018.07.11,2018.07.18
446,한국유니온제약,2018.07.09,2018.07.18
447,엠코르셋,2018.07.05,2018.07.13
448,IBKS스팩9호,2018.07.05,2018.07.12
449,올릭스,2018.07.02,2018.07.10
450,아이큐어,2018.06.28,2018.07.05
451,에스브이인베스트먼트,2018.06.21,2018.06.28
