,검색량,기업명,날짜
1,18.39464,까스텔바쟉,2019-06-01
0,100.0,마이크로디지탈,2019-05-28
1,48.71679,마이크로디지탈,2019-05-29
0,100.0,컴퍼니케이파트너스,2019-05-14
1,51.5774,컴퍼니케이파트너스,2019-05-15
0,100.0,수젠텍,2019-05-16
1,64.64817,수젠텍,2019-05-17
0,100.0,에스앤케이,2019-04-24
1,33.29752,에스앤케이,2019-04-25
0,100.0,현대오토에버,2019-03-20
1,62.19377,현대오토에버,2019-03-21
0,100.0,아모그린텍,2019-03-20
1,58.21213,아모그린텍,2019-03-21
0,100.0,지노믹트리,2019-03-19
1,61.79173,지노믹트리,2019-03-20
0,100.0,이지케어텍,2019-03-13
1,63.68932,이지케어텍,2019-03-14
0,100.0,미래에셋벤처투자,2019-03-08
1,25.8111,미래에셋벤처투자,2019-03-09
0,100.0,드림텍,2019-03-05
1,50.69873,드림텍,2019-03-06
0,100.0,에코프로비엠,2019-02-22
1,30.24152,에코프로비엠,2019-02-23
0,100.0,셀리드,2019-02-12
1,73.80425,셀리드,2019-02-13
0,100.0,천보,2019-01-29
1,64.28571,천보,2019-01-30
0,100.0,이노테라피,2019-01-24
1,37.58012,이노테라피,2019-01-25
0,100.0,노랑풍선,2019-01-22
1,88.55293,노랑풍선,2019-01-23
0,100.0,웹케시,2019-01-17
1,66.12301,웹케시,2019-01-18
0,100.0,에어부산,2018-12-19
1,83.83298,에어부산,2018-12-20
0,100.0,비피도,2018-12-18
1,48.35082,비피도,2018-12-19
0,100.0,유틸렉스,2018-12-14
1,27.13891,유틸렉스,2018-12-15
0,100.0,디케이티,2018-12-13
1,49.29225,디케이티,2018-12-14
0,100.0,에이비엘바이오,2018-12-12
1,70.11082,에이비엘바이오,2018-12-13
0,100.0,위지윅스튜디오,2018-12-13
1,50.52878,위지윅스튜디오,2018-12-14
0,100.0,머큐리,2018-12-06
1,82.26299,머큐리,2018-12-07
0,100.0,전진바이오팜,2018-12-05
1,52.32558,전진바이오팜,2018-12-06
0,100.0,이노메트리,2018-12-04
1,44.77611,이노메트리,2018-12-05
0,93.38028,뉴트리,2018-12-04
1,100.0,뉴트리,2018-12-05
0,100.0,대유에이피,2018-11-28
1,58.05658,대유에이피,2018-11-29
0,100.0,베스파,2018-11-22
1,55.37229,베스파,2018-11-23
0,100.0,윙입푸드,2018-11-22
1,57.64499,윙입푸드,2018-11-23
0,100.0,티로보틱스,2018-11-20
1,58.20895,티로보틱스,2018-11-21
0,100.0,에코캡,2018-11-20
1,63.21525,에코캡,2018-11-21
0,100.0,티앤알바이오팹,2018-11-16
1,10.11959,티앤알바이오팹,2018-11-17
0,100.0,엠아이텍,2018-11-20
1,48.65454,엠아이텍,2018-11-21
0,100.0,네오펙트,2018-11-20
1,47.06533,네오펙트,2018-11-21
0,100.0,남화산업,2018-11-16
1,20.93023,남화산업,2018-11-17
0,100.0,싸이토젠,2018-11-14
1,50.79855,싸이토젠,2018-11-15
0,100.0,아시아나IDT,2018-11-15
1,49.89122,아시아나IDT,2018-11-16
0,100.0,아주IB투자,2018-11-14
1,55.91216,아주IB투자,2018-11-15
0,100.0,디알젬,2018-11-13
1,42.47863,디알젬,2018-11-14
0,100.0,파멥신,2018-11-13
1,46.63937,파멥신,2018-11-14
0,100.0,디케이앤디,2018-11-08
1,23.27416,디케이앤디,2018-11-09
0,100.0,디자인,2018-11-08
1,72.05034,디자인,2018-11-09
0,100.0,노바렉스,2018-11-06
1,42.0763,노바렉스,2018-11-07
0,100.0,셀리버리,2018-10-30
1,45.50143,셀리버리,2018-10-31
0,100.0,대보마그네틱,2018-10-26
1,17.23259,대보마그네틱,2018-10-27
0,100.0,엘앤씨바이오,2018-10-24
1,45.59099,엘앤씨바이오,2018-10-25
0,100.0,노바텍,2018-10-24
1,32.3741,노바텍,2018-10-25
0,100.0,옵티팜,2018-10-17
1,53.12941,옵티팜,2018-10-18
0,100.0,로보티즈,2018-10-18
1,50.78821,로보티즈,2018-10-19
0,100.0,에스퓨얼셀,2018-10-02
1,34.35843,에스퓨얼셀,2018-10-03
0,100.0,크리스에프앤씨,2018-09-18
1,47.0909,크리스에프앤씨,2018-09-19
0,100.0,푸드나무,2018-09-19
1,40.89363,푸드나무,2018-09-20
0,100.0,나우아이비캐피탈,2018-09-18
1,38.10679,나우아이비캐피탈,2018-09-19
0,100.0,하나제약,2018-09-18
1,47.13665,하나제약,2018-09-19
0,92.1875,지티지웰니스,2018-09-13
1,100.0,지티지웰니스,2018-09-14
0,100.0,우진아이엔에스,2018-09-06
1,36.69885,우진아이엔에스,2018-09-07
0,100.0,명성티엔에스,2018-09-05
1,59.5898,명성티엔에스,2018-09-06
0,100.0,디지캡,2018-08-29
1,53.80952,디지캡,2018-08-30
0,100.0,액트로,2018-08-17
1,18.04949,액트로,2018-08-18
0,100.0,에이피티씨,2018-08-14
1,23.85406,에이피티씨,2018-08-15
0,100.0,오파스넷,2018-08-14
1,23.47517,오파스넷,2018-08-15
0,100.0,바이오솔루션,2018-08-10
1,25.29002,바이오솔루션,2018-08-11
0,100.0,대유,2018-08-02
1,54.97427,대유,2018-08-03
0,100.0,에스에스알,2018-07-27
1,22.99578,에스에스알,2018-07-28
0,100.0,휴네시온,2018-07-26
1,40.71969,휴네시온,2018-07-27
0,100.0,디아이티,2018-07-26
1,17.47245,디아이티,2018-07-27
0,100.0,티웨이항공,2018-07-24
1,85.67918,티웨이항공,2018-07-25
0,100.0,롯데정보통신,2018-07-18
1,44.29319,롯데정보통신,2018-07-19
0,100.0,한국유니온제약,2018-07-18
1,47.91115,한국유니온제약,2018-07-19
