,name,type,day,gongmo_p,sicho_p
193,티엘비,kosdaq,20201214,38000,75900
194,인바이오,kosdaq,20201211,5800,11600
195,엔젠바이오,kosdaq,20201210,14000,28000
196,퀀타매트릭스,kosdaq,20201209,25500,25050
197,디비금융스팩8호,kosdaq,20201209,2000,1985
198,명신산업(유가),kospi,20201207,6500,13000
199,클리노믹스,kosdaq,20201204,13900,18500
200,포인트모바일,kosdaq,20201203,15000,30000
201,엔에프씨,kosdaq,20201202,13400,20700
202,앱코,kosdaq,20201202,24300,30150
203,제일전기공업,kosdaq,20201126,17000,34000
204,하나기술,kosdaq,20201125,35000,70000
205,티앤엘,kosdaq,20201120,36000,72000
206,에이플러스에셋어드바이저(유가),kospi,20201120,7500,8100
207,고바이오랩,kosdaq,20201118,15000,30000
208,네패스아크,kosdaq,20201117,26500,36200
209,교촌에프앤비(유가),kospi,20201112,12300,23850
210,소룩스,kosdaq,20201106,10000,20000
211,위드텍,kosdaq,20201030,25000,37100
212,센코,kosdaq,20201029,13000,13350
213,바이브컴퍼니,kosdaq,20201028,28000,40000
214,미코바이오메드,kosdaq,20201022,15000,16100
215,피플바이오,kosdaq,20201019,20000,18000
216,하이브(구.빅히트)(유가),kospi,20201015,135000,270000
217,넥스틴,kosdaq,20201008,75400,71100
218,원방테크,kosdaq,20200924,54300,48900
219,엔에이치스팩17호,kosdaq,20200923,2000,2005
220,비나텍,kosdaq,20200923,33000,44000
221,박셀바이오,kosdaq,20200922,30000,27000
222,비비씨,kosdaq,20200921,30700,27650
223,교보스팩10호,kosdaq,20200918,2000,2020
224,핌스,kosdaq,20200918,19000,21000
225,압타머사이언스,kosdaq,20200916,25000,28850
226,이오플로우,kosdaq,20200914,19000,21750
227,카카오게임즈,kosdaq,20200910,24000,48000
228,피엔케이피부임상연구센타,kosdaq,20200909,18300,28000
229,코람코에너지플러스리츠(유가),kospi,20200831,5000,4800
230,미래에셋대우스팩5호,kosdaq,20200828,2000,2000
231,아이디피,kosdaq,20200824,9800,13200
232,셀레믹스,kosdaq,20200821,20000,24900
233,미투젠,kosdaq,20200818,27000,29100
234,브랜드엑스코퍼레이션,kosdaq,20200813,13000,12900
235,영림원소프트랩,kosdaq,20200812,11500,17600
236,한국파마,kosdaq,20200810,9000,18000
237,제이알글로벌리츠(유가),kospi,20200807,5000,4700
238,이루다,kosdaq,20200806,9000,18000
239,이지스레지던스리츠(유가),kospi,20200805,5000,4500
240,미래에셋맵스리츠1호(유가),kospi,20200805,5000,4500
241,와이팜,kosdaq,20200731,11000,15550
242,이엔드디,kosdaq,20200730,14400,18200
243,엠투아이,kosdaq,20200729,15600,18850
244,에이치엠씨아이비스팩4호,kosdaq,20200729,2000,2010
245,더네이쳐홀딩스,kosdaq,20200727,46000,41400
246,제놀루션,kosdaq,20200724,14000,28000
247,솔트룩스,kosdaq,20200723,25000,40000
248,하나금융스팩16호,kosdaq,20200723,2000,2020
249,티에스아이,kosdaq,20200722,10000,20000
250,이지스밸류플러스리츠(유가),kospi,20200716,5000,4800
251,에이프로,kosdaq,20200716,21600,43200
