,name,type,day,gongmo_p,sicho_p
1067,아세아텍,kosdaq,20100126,4100,3985
1068,영흥철강(유가),kospi,20100125,12000,12400
1069,우노앤컴퍼니,kosdaq,20100115,6500,5850
1070,승화엘엠씨,kosdaq,20100106,6700,8800
1071,코디에스,kosdaq,20100105,6000,9300
1072,글로벌에스엠테크리미티드,kosdaq,20091223,3200,3710
1073,KPX라이프사이언스,kosdaq,20091222,6200,7600
1074,동양피엔에프,kosdaq,20091222,12000,17000
1075,아이티엑스시큐리티,kosdaq,20091222,6000,7400
1076,위메이드엔터테인먼트,kosdaq,20091218,62000,57000
1077,멜파스,kosdaq,20091218,43200,45000
1078,현대푸드시스템(유가),kospi,20091217,11600,18000
1079,한전기술(유가),kospi,20091214,21600,27000
1080,디오텍,kosdaq,20091210,9000,11000
1081,중국엔진집단유한공사,kosdaq,20091204,6000,8500
1082,이원컴포텍,kosdaq,20091201,2000,4000
1083,강원비앤이,kosdaq,20091120,4700,5000
1084,GKL(유가),kospi,20091119,12000,15000
1085,이너스텍,kosdaq,20091113,10000,11500
1086,에스케이씨앤씨(유가),kospi,20091111,30000,32250
1087,동방선기,kosdaq,20091110,4000,4055
1088,디엠씨,kosdaq,20091106,6300,5670
1089,진매트릭스,kosdaq,20091106,8000,8100
1090,비츠로셀,kosdaq,20091028,5500,5870
1091,스틸플라워,kosdaq,20091027,13500,14050
1092,진로(유가),kospi,20091019,41000,40100
1093,한스바이오메드,kosdaq,20091009,5500,7150
1094,동양생명(유가),kospi,20091008,17000,15700
1095,네오위즈벅스,kosdaq,20091006,9000,8100
1096,아이앤씨테크놀로지,kosdaq,20091006,16000,16000
1097,케이엔더블유,kosdaq,20090929,11000,16000
1098,쌍용머티리얼(유가),kospi,20090929,17500,15750
1099,에리트베이직(유가),kospi,20090928,4000,5490
1100,모린스,kosdaq,20090925,39000,36100
1101,디에스케이,kosdaq,20090923,5000,10000
1102,톱텍,kosdaq,20090915,10400,13350
1103,제넥신,kosdaq,20090915,27000,30500
1104,동국S&C,kosdaq,20090831,11000,9900
1105,에스앤더블류,kosdaq,20090805,6700,10000
1106,게임빌,kosdaq,20090730,15000,19800
1107,동일금속,kosdaq,20090728,8000,10000
1108,대우캐피탈(유가),kospi,20090625,8000,7900
1109,한미파슨스건축사사무소(유가),kospi,20090623,14500,19150
1110,동아지질(유가),kospi,20090612,14500,16000
1111,어보브반도체,kosdaq,20090605,3300,5200
1112,조이맥스,kosdaq,20090603,55000,110000
1113,차이나그레이트스타인터내셔널리,kosdaq,20090529,1700,3400
1114,이엔에프테크놀로지,kosdaq,20090528,5500,11000
1115,뉴그리드테크놀로지,kosdaq,20090526,3500,7000
1116,중국원양자원유한공사(유가),kospi,20090522,3100,6200
1117,해덕선기,kosdaq,20090521,8500,17000
1118,한국정밀기계,kosdaq,20090519,22000,44000
1119,서울마린,kosdaq,20090519,10000,20000
1120,STX엔파코(유가),kospi,20090515,13000,26000
1121,흥국,kosdaq,20090512,4200,8400
1122,신텍,kosdaq,20090430,12500,25000
1123,우림기계,kosdaq,20090428,10000,16000
1124,네프로아이티,kosdaq,20090424,4500,9000
1125,티플랙스,kosdaq,20090423,3000,6000
1126,에이테크솔루션,kosdaq,20090417,5400,10800
1127,엔에스브이,kosdaq,20090417,4300,8600
1128,에스티오,kosdaq,20090417,5000,10000
1129,에스앤에스텍,kosdaq,20090414,4000,8000
1130,뷰웍스,kosdaq,20090410,9000,18000
1131,코오롱생명과학,kosdaq,20090407,23500,47000
1132,네오피델리티,kosdaq,20090331,4500,9000
1133,중국식품포장유한공사,kosdaq,20090327,1500,2260
1134,이수앱지스,kosdaq,20090203,5500,8000
1135,유비쿼스,kosdaq,20090123,6100,7000
1136,대성파인텍,kosdaq,20090123,3500,4495
1137,메디톡스,kosdaq,20090116,14000,13500
1138,엠게임,kosdaq,20081219,10000,15000
1139,아이컴포넌트,kosdaq,20081216,3500,4235
1140,연합과기공고유한공사(유가),kospi,20081204,2200,2600
1141,LG파워콤(유가),kospi,20081127,5700,7000
1142,에너지솔루션즈,kosdaq,20081125,3000,4210
1143,이크레더블,kosdaq,20081024,18000,16200
1144,심팩에이앤씨,kosdaq,20081017,12000,10800
1145,사이버다임,kosdaq,20081006,3100,4015
1146,세운메디칼,kosdaq,20080930,5600,9800
1147,마이크로컨텍솔루션,kosdaq,20080923,2000,3500
1148,케이제이프리텍,kosdaq,20080918,3000,2800
1149,삼강엠앤티,kosdaq,20080801,6500,8100
1150,LG이노텍(유가),kospi,20080724,40500,43000
1151,아이엠,kosdaq,20080723,5000,5437
1152,한텍엔지니어링,kosdaq,20080718,8500,7900
1153,코리아에스이,kosdaq,20080715,5500,6100
1154,슈프리마,kosdaq,20080711,27100,24400
1155,명문제약(유가),kospi,20080710,6000,5400
1156,이스트소프트,kosdaq,20080701,9800,16000
1157,서울옥션,kosdaq,20080701,11000,9900
1158,비유와상징(유가),kospi,20080630,33000,29700
1159,씨디아이홀딩스,kosdaq,20080627,33000,35100
1160,윌덱스,kosdaq,20080619,10000,9000
1161,쎄트렉아이,kosdaq,20080613,43000,48000
1162,브리지텍,kosdaq,20080604,3100,3200
1163,고영테크놀러지,kosdaq,20080603,11500,10350
1164,제이씨엔터테인먼트,kosdaq,20080530,10500,10500
1165,세미텍,kosdaq,20080523,5000,5710
1166,테스,kosdaq,20080520,34000,38500
1167,우진비앤지,kosdaq,20080520,4000,7700
1168,예스이십사,kosdaq,20080507,6300,10000
1169,엘디티,kosdaq,20080502,3800,7250
1170,실리콘화일,kosdaq,20080425,6000,6100
1171,메타바이오메드,kosdaq,20080415,9000,12500
1172,효성오앤비,kosdaq,20080408,7500,9950
1173,네패스신소재,kosdaq,20080404,4400,7650
1174,제너시스템즈,kosdaq,20080326,3500,4700
1175,텔레필드,kosdaq,20080201,5000,5000
1176,넥실리온,kosdaq,20080130,3500,4200
1177,코웰이홀딩스,kosdaq,20080129,2000,1900
1178,네오엠텔,kosdaq,20080125,8500,10000
1179,마이스코,kosdaq,20080125,18000,18000
1180,엔케이(유가),kospi,20080124,10000,9000
1181,에스맥,kosdaq,20080123,3500,3410
1182,일신랩,kosdaq,20071226,4500,6000
1183,쎄믹스,kosdaq,20071226,3300,3900
1184,미성포리테크,kosdaq,20071220,6300,5900
1185,서원인텍,kosdaq,20071220,6000,5500
1186,이씨에스텔레콤,kosdaq,20071218,2500,3200
1187,대창메탈,kosdaq,20071217,6500,8500
1188,한전KPS(유가),kospi,20071214,13300,17100
1189,위즈위드,kosdaq,20071205,5200,5650
1190,성진지오텍(유가),kospi,20071129,14000,13400
1191,화풍방직(유가),kospi,20071126,5600,6300
1192,세실,kosdaq,20071120,11000,9900
1193,알에프세미,kosdaq,20071120,4800,4600
1194,디엔에프(유가),kospi,20071116,12000,10800
1195,씨모텍,kosdaq,20071114,23000,25000
1196,제이에스전선(유가),kospi,20071112,24000,48000
1197,일진정공,kosdaq,20071106,5200,10400
1198,비엠티,kosdaq,20071102,8000,7200
1199,쉘라인(유가),kospi,20071101,17400,15700
1200,기신정기(유가),kospi,20071030,10000,14800
1201,이엠코리아,kosdaq,20071029,8500,9390
1202,이엘케이,kosdaq,20071029,10000,9000
1203,KSS해운(유가),kospi,20071026,65000,130000
1204,효성ITX(유가),kospi,20071025,5000,10000
1205,현우산업,kosdaq,20071024,6800,6500
1206,다믈멀티미디어,kosdaq,20071019,4500,5300
1207,디아이씨(유가),kospi,20071018,63000,61000
1208,에스에너지,kosdaq,20071016,19000,38000
1209,성우전자,kosdaq,20071012,11000,9900
1210,제이엠텔레콤,kosdaq,20071012,5700,5700
1211,엘지에스,kosdaq,20071012,11000,9900
1212,오디텍,kosdaq,20071008,10000,9320
1213,미래나노텍,kosdaq,20071001,37000,38000
1214,상보,kosdaq,20071001,15000,16500
1215,아이에스시테크놀러지,kosdaq,20071001,21000,18900
1216,네오티스,kosdaq,20071001,11500,11500
1217,바이오톡스텍,kosdaq,20070921,5500,7900
1218,에스티엑스팬오션(유가),kospi,20070921,1720,1775
1219,옴니시스템,kosdaq,20070919,6500,7160
1220,연이정보통신,kosdaq,20070919,4000,3670
1221,푸른기술,kosdaq,20070914,12500,12500
1222,웨이브일렉트로닉스,kosdaq,20070912,10000,10100
1223,넥스지,kosdaq,20070820,9600,12000
1224,빅솔론,kosdaq,20070820,10000,12000
1225,3노드디지탈,kosdaq,20070817,2500,3000
1226,에스엔케이폴리텍,kosdaq,20070730,8900,12500
1227,아구스,kosdaq,20070727,14500,19850
1228,아로마소프트,kosdaq,20070725,8200,12900
1229,에코프로,kosdaq,20070720,9000,16000
1230,바로비젼,kosdaq,20070720,8900,12000
1231,메모리앤테스팅,kosdaq,20070718,8000,15900
1232,컴투스,kosdaq,20070706,12000,24000
1233,디지텍시스템스,kosdaq,20070704,21000,37500
1234,삼성카드(유가),kospi,20070627,48000,62200
1235,엔텔스,kosdaq,20070620,10000,20000
1236,풍강,kosdaq,20070601,3700,7300
1237,케이프,kosdaq,20070529,18000,36000
1238,동국제약,kosdaq,20070529,14000,28000
1239,상신이디피,kosdaq,20070523,7000,14000
1240,잘만테크,kosdaq,20070522,14000,24000
1241,한라레벨,kosdaq,20070522,8600,17200
1242,에버테크노,kosdaq,20070522,5200,8000
1243,에프알텍,kosdaq,20070518,3300,6000
1244,이엠텍,kosdaq,20070502,7100,11000
1245,이트레이드증권,kosdaq,20070221,6500,13000
1246,오스템임플란트,kosdaq,20070207,15000,16400
1247,나노캠텍,kosdaq,20070130,7000,13000
1248,네오팜,kosdaq,20070130,8000,12100
1249,비에이치,kosdaq,20070126,4600,4805
1250,젯텍,kosdaq,20070110,7000,8500
1251,동아엘텍,kosdaq,20070103,6000,7020
1252,신양엔지니어링,kosdaq,20061227,9100,9400
1253,아비스타(유가),kospi,20061226,11100,13200
1254,디앤티,kosdaq,20061222,6200,9100
1255,펜타마이크로,kosdaq,20061219,10200,14000
1256,휴온스,kosdaq,20061219,9300,17100
1257,한국컴퓨터,kosdaq,20061213,23500,37000
1258,파트론,kosdaq,20061213,8300,10150
1259,유니테스트,kosdaq,20061205,22000,28000
1260,다사테크,kosdaq,20061205,12000,24000
1261,에스에이티,kosdaq,20061128,5200,10400
1262,큐에스아이,kosdaq,20061124,6800,13600
1263,크레듀,kosdaq,20061116,24000,48000
1264,주연테크(유가),kospi,20061115,6400,10200
1265,화신테크,kosdaq,20061110,2700,5400
1266,고려반도체시스템,kosdaq,20061108,5500,8000
1267,인천도시가스(유가),kospi,20061107,19000,34000
1268,성창에어텍,kosdaq,20061103,3400,6000
1269,넥스턴,kosdaq,20061101,4100,4600
1270,제이티,kosdaq,20061027,2700,4000
1271,이녹스,kosdaq,20061020,6500,9630
1272,광진윈텍,kosdaq,20061020,2600,5200
1273,삼정펄프(유가),kospi,20061017,29000,55400
1274,용현비엠,kosdaq,20061010,9000,13000
1275,바텍,kosdaq,20060928,6700,8920
1276,엠디에스테크놀로지,kosdaq,20060926,13000,17500
1277,현대EP(유가),kospi,20060925,18500,37000
1278,평산,kosdaq,20060822,15500,24400
1279,엘씨텍,kosdaq,20060808,1500,3000
1280,지오텔,kosdaq,20060801,9800,9250
1281,트라이콤,kosdaq,20060725,4800,4320
1282,젠트로,kosdaq,20060725,2200,2400
1283,티엘아이,kosdaq,20060725,11400,11000
1284,엑스씨이,kosdaq,20060721,7500,6900
1285,한국전자금융,kosdaq,20060714,20500,32950
1286,미디어플렉스,kosdaq,20060707,24000,37500
1287,팬엔터테인먼트,kosdaq,20060707,7000,9900
1288,맥스엔지니어링,kosdaq,20060704,2900,4285
1289,사이버패스,kosdaq,20060704,5200,4860
1290,인포뱅크,kosdaq,20060704,4600,4610
1291,켐트로닉스,kosdaq,20060117,9500,9800
1292,오스코텍,kosdaq,20060117,9000,13000
