,기업명,경쟁률,의무보유확약,시초/공모%(수익률)
225,서울바이오시스,1119:1,10.50%,73.33% 
226,제이앤티씨,1077.88:1,6.72%,-7.27% 
227,켄코아에어로스페이스,120.75:1,2.55%,15% 
228,레몬,426:1,6.30%,19.72% 
229,서남,1228.4:1,5.21%,25.81% 
230,신영스팩6호,,0.00%,0% 
231,위세아이텍,1105.93:1,6.95%,15.83% 
232,케이비스팩20호,,0.00%,0% 
233,하나금융스팩15호,,0.00%,0% 
234,천랩,51.11:1,0.00%,7.38% 
235,한화플러스스팩1호,,0.00%,0.25% 
236,피피아이,997.33:1,2.47%,57.14% 
237,브릿지바이오테라퓨틱스,58.85:1,0.06%,4% 
238,엔에이치스팩15호,,0.00%,0% 
239,메탈라이프,1288.21,22.46%,100% 
240,메드팩토,86.41:1,13.83%,0% 
241,하이스팩5호,,0.00%,0% 
242,대신밸런스스팩8호,,0.00%,0.25% 
243,유안타스팩6호,,0.00%,0.25% 
244,신테카바이오,75.61:1,1.32%,24.58% 
245,제이엘케이인스펙션,69.81:1,0.00%,-5.56% 
246,IBKS스팩12호,,0.00%,2% 
247,태웅로직스,1024.98:1,2.53%,81.56% 
248,에스케이스팩5호,,0.00%,0.5% 
249,리메드,24.76:1,0.00%,8.46% 
250,코리아센터,37.77:1,6.04%,27.78% 
251,IBKS스팩11호,,0.00%,0.25% 
252,유안타스팩5호,,0.00%,7.25% 
253,노터스,699.46:1,0.59%,48.75% 
254,티움바이오,37.3:1,0.00%,-1.67% 
255,우양,1195.37:1,0.00%,44.29% 
256,코리아에셋투자증권,945.66:1,2.25%,-1% 
257,씨에스베어링,1246.86:1,4.65%,0% 
258,에스제이그룹,946.62:1,13.56%,12.69% 
259,제테마,12.41:1,0.00%,-4.29% 
260,라파스,202.06:1,0.00%,-0.25% 
261,아이티엠반도체,1078.5:1,15.80%,2.88% 
262,미래에셋대우스팩4호,,0.00%,0% 
263,하나금융스팩14호,,0.00%,0% 
264,티라유텍,1240.9:1,11.90%,100% 
265,미디어젠,576.27:1,1.88%,6.13% 
266,신한스팩6호,,0.00%,0.5% 
267,캐리소프트,924.83:1,2.70%,34.44% 
268,케이엔제이,"1,144.3:1",5.50%,42.73% 
269,교보스팩9호,,0.00%,0.5% 
270,엔바이오니아,425.80:1,3.80%,30.49% 
271,팜스빌,"1,035.53:1",7.05%,20% 
272,라온피플,330.36:1,1.50%,-5% 
273,아톤,810.88:1,9.50%,7.09% 
274,대신밸런스스팩7호,,0.00%,1.25% 
275,녹십자웰빙,657.93:1,4.49%,5.31% 
276,유진스팩5호,,0.00%,2.25% 
277,케이비스팩19호,,0.00%,2.25% 
278,올리패스,11.07:1,0.40%,53% 
279,라닉스,51.68:1,0.00%,18.33% 
280,하나금융스팩13호,,0.00%,2% 
281,한독크린텍,1117.61:1,8.77%,62.25% 
282,상상인이안스팩2호,540.20:1,0.00%,7.5% 
283,네오크레마,96.6:1,0.00%,19.13% 
284,나노브릭,39.3:1,0.00%,-10% 
285,미래에셋대우스팩3호,,0.00%,6% 
286,에스피시스템스,1116.32:1,13.68%,100% 
287,레이,1013.19,10.27%,25.75% 
288,코윈테크,163.54:1,0.90%,-10% 
289,그린플러스,863.94:1,5.85%,11.5% 
290,세경하이테크,10.71:1,0.00%,-5% 
291,덕산테코피아,348.63:1,7.17%,-10% 
292,한국바이오젠,"1,087.6:1",0.00%,100% 
293,슈프리마아이디,1124.05:1,13.14%,28.7% 
294,윌링스,1082.15:1,18.18%,82.4% 
295,대모(구.대모엔지니어링),1103.1:1,15.60%,67.5% 
296,에이스토리,614.25:1,3.56%,-9.79% 
297,플리토,1133:1,22.00%,21.54% 
298,세틀뱅크,1122:1,14.80%,-10% 
299,이베스트이안스팩1호,,0.00%,52% 
300,아이스크림에듀,124.73:1,1.34%,-9.75% 
301,펌텍코리아,5.75:1,0.00%,-10% 
