,기업명,경쟁률,의무보유확약,시초/공모%(수익률)
556,차이나크리스탈신소재,36.30:1,0.90%,33.33% 
557,유니트론텍,455.80:1,21.70%,80.71% 
558,한솔씨앤피,136.97:1,5.97%,45.77% 
559,에스와이패널,4.88:1,0.00%,-6% 
560,육일씨엔에쓰,8.74:1,0.00%,9.33% 
561,코디엠,39.79:1,2.51%,59.36% 
562,대신밸런스스팩2호,,0.00%,0% 
563,이에스브이,23.29:1,2.38%,85% 
564,아진산업,11.61:1,8.70%,17.23% 
565,휴젤,6.7:1,8.61%,33% 
566,한국맥널티,60.5:1,0.20%,100% 
567,덱스터,255.31:1,33.10%,77.14% 
568,메가엠디,16.67:1,7.50%,67.33% 
569,씨트리,4.7:1,0.60%,42.31% 
570,강스템바이오텍,11.35:1,0.00%,20% 
571,동부스팩4호,,0.00%,0% 
572,파크시스템스,50.29:1,57.30%,22.22% 
573,보광산업,15.47,0.00%,52.75% 
574,예스티,32.90:1,73.30%,6.9% 
575,뉴트리바이오텍,93.92:1,28.32%,9.52% 
576,멕아이씨에스,3.77:1,0.00%,77.78% 
577,하나금융스팩7호,,0.00%,0.5% 
578,엔에스,179.61:1,21.42%,61.88% 
579,미래테크놀로지,117.30:1,5.70%,-7.14% 
580,엠지메드,715.39:1,14.86%,2.5% 
581,매직마이크로,75.03:1,1.33%,-1.45% 
582,케이디켐,66.20:1,3.00%,-7.19% 
583,하이즈항공,47.27:1,0.89%,-10% 
584,리드,42.89:1,7.00%,-10% 
585,네오오토,113.08:1,3.54%,-1.67% 
586,골든브릿지스팩4호,,0.00%,-0.5% 
587,아이진,408.1:1,7.50%,-4.44% 
588,나무가,108.34:1,3.62%,-9.73% 
589,유앤아이,377.40:1,4.00%,-4.5% 
590,케어젠,833.46,62.00%,-7.73% 
591,에이치엠씨스팩3호,,0.00%,1% 
592,더블유게임즈,413.82:1,14.66%,0.15% 
593,연우,317:1,51.00%,11.71% 
594,키움스팩4호,,0.00%,3% 
595,현대드림스팩4호,,0.00%,4.5% 
596,에이티젠,695.7:1,40.60%,100% 
597,엑시콘,28.34:1,0.00%,4% 
598,이베스트스팩3호,,0.00%,4.5% 
599,에치디프로,362.84:1,6.21%,7.64% 
600,IBKS스팩3호,,0.00%,5% 
601,동부스팩3호,,0.00%,5.25% 
602,신영해피투모로우2호스팩,,0.00%,4.5% 
603,타이거일렉,230.02:1,1.36%,-4.67% 
604,엔에이치스팩9호,,0.00%,3.5% 
605,제너셈,326.77:1,4.15%,4.76% 
606,인포마크,251.2:1,12.00%,78.57% 
607,유진스팩3호,,0.00%,5.25% 
608,한국스팩3호,,0.00%,6.25% 
609,케이티비스팩3호,,0.00%,9.25% 
610,교보스팩5호,,0.00%,15% 
611,웹스,438.83:1,33.54%,58.33% 
612,현대드림스팩3호,,0.00%,0% 
613,교보스팩4호,,0.00%,68.25% 
614,파인텍,382.64:1,45.68%,100% 
615,미래에셋스팩4호,,0.00%,56.5% 
616,흥국에프엔비,666.88:1,63.87%,100% 
617,케이비스팩8호,,0.00%,18.5% 
618,칩스앤미디어,123.2:1,0.00%,30.48% 
619,아시아경제신문사,280.85:1,15.82%,-10% 
620,아이쓰리시스템,768.00:1,37.60%,75% 
621,로지시스,345.68:1,13.28%,67.2% 
622,엘아이지이에스스팩,,0.00%,38.5% 
623,파마리서치프로덕트,728.06:1,57.90%,100% 
624,에스케이스팩2호,,0.00%,7% 
625,펩트론,699.59:1,67.40%,100% 
626,한화에이스스팩2호,,0.00%,6.25% 
627,유안타스팩2호,,0.00%,6.25% 
628,키움스팩3호,,0.00%,5.5% 
629,민앤지,728.82:1,45.40%,100% 
630,골든브릿지스팩3호,,0.00%,1.75% 
631,동운아나텍,101.68:1,7.08%,25% 
632,엔에이치스팩8호,,0.00%,4% 
633,유테크,351.10:1,8.59%,39.44% 
634,코아스템,868.62:1,41.74%,100% 
635,에스엔텍,189.14:1,19.88%,53.85% 
636,이베스트스팩2호,,0.00%,1% 
637,세미콘라이트,187.7:1,4.50%,1.77% 
638,베셀,437.68:1,0.00%,48.89% 
639,하나머스트스팩5호,,0.00%,1.25% 
640,대신밸런스스팩1호,,0.00%,1.25% 
641,하이스팩3호,,0.00%,1% 
642,싸이맥스,238.72:1,2.93%,-6.75% 
643,엔에이치스팩7호,,0.00%,6.5% 
644,한화에이씨피씨스팩,,0.00%,7.75% 
645,픽셀플러스,131.67:1,2.25%,-10% 
646,제노포커스,842.79:1,41.12%,100% 
647,미래에셋스팩3호,,0.00%,12.75% 
648,대우스팩3호,,0.00%,30% 
649,한화엠지아이스팩,,0.00%,45% 
650,대우에스비아이스팩1호,,0.00%,18.25% 
651,엔에이치스팩5호,,0.00%,12.5% 
652,유진에이씨피씨스팩2호,,0.00%,15.75% 
653,하나머스트스팩4호,,0.00%,50.5% 
654,한화에이스스팩1호,,0.00%,12.25% 
655,유지인트,643.70:1,27.15%,94.33% 
656,케이티비스팩2호,,0.00%,7.5% 
657,케이비스팩7호,,0.00%,13% 
658,포시에스,344.23:1,0.00%,70.33% 
659,골든브릿지스팩2호,,0.00%,11% 
660,국일신동,29.25:1,0.00%,89.71% 
661,NH스팩2호,,0.00%,0.75% 
662,영백씨엠,43.42:1,0.00%,100% 
663,케이비스팩6호,,0.00%,1.5% 
664,케이비스팩5호,,0.00%,0% 
665,교보스팩3호,,0.00%,0.25% 
666,현대드림스팩2호,,0.00%,-0.25% 
667,오킨스전자,268.25:1,0.00%,54.93% 
668,넥스트엔터테인먼트월드,214.69:1,9.59%,-3.07% 
669,하나머스트스팩3호,,0.00%,0.75% 
670,아스트,74.59:1,5.74%,-10% 
671,아이티센,54.13:1,0.00%,12.8% 
672,서전기전,11.54:1,0.00%,23.08% 
673,하이셈,50.03:1,0.00%,74% 
674,휴메딕스,688.80:1,35.18%,55.71% 
675,하나머스트스팩2호,,0.00%,0% 
676,하이로닉,500.56:1,22.70%,25.1% 
677,디티앤씨(구.디지털이엠씨),559.02:1,74.30%,62.16% 
678,엘아이지스팩2호,,0.00%,0.75% 
679,녹십자엠에스,474.11:1,0.00%,50% 
680,랩지노믹스,423.83:1,0.00%,26.14% 
681,에이디테크놀로지,33.19:1,7.53%,-10% 
682,우리에스엘스팩,,0.00%,0% 
683,동부스팩2호,,0.00%,0.5% 
684,알테오젠,409.2:1,14.40%,-3.27% 
685,비씨월드제약,356.75:1,26.60%,15.29% 
686,한국스팩2호,,0.00%,0.75% 
687,에스케이씨코오롱피아이,23.01:1,0.00%,-2.5% 
688,에프엔씨엔터테인먼트,185.35:1,9.91%,-10% 
689,대창스틸,219.91:1,0.00%,44.2% 
690,하이스팩2호,24.64:1,0.00%,0.5% 
691,케이티비스팩1호,,0.00%,1.5% 
692,텔콘,162.88:1,5.53%,-4.83% 
693,IBKS스팩2호,,0.00%,1.5% 
694,디에이테크놀로지,55.28:1,1.81%,18.18% 
695,파티게임즈,224.12:1,24.62%,100% 
696,유안타스팩1호,,0.00%,2.25% 
697,케이비스팩4호,,0.00%,4% 
698,교보위드스팩,,0.00%,12.5% 
699,현대에이블스팩1호,,0.00%,75% 
700,테고사이언스,591.09:1,30.50%,100% 
701,슈피겐코리아,255.6:1,30.86%,34.91% 
702,테라셈,18.41:1,0.00%,6.67% 
703,영우디에스피,17.07:1,0.00%,10% 
704,대우스팩2호,,0.00%,0.25% 
705,신한스팩2호,,0.00%,-0.5% 
706,데브시스터즈,651.66:1,29.98%,33.96% 
707,메디아나,86:1,0.00%,2.74% 
708,KB스팩3호,,0.00%,2.25% 
709,감마누,608.66:1,0.00%,100% 
710,우리스팩3호,,0.00%,7.5% 
711,신화콘텍,441.99:1,10.37%,-10% 
712,덕신하우징,650.72:1,59.86%,66.54% 
713,파버나인,264.04:1,0.00%,-1.6% 
714,창해에탄올,578.20:1,59.50%,100% 
715,미래에셋스팩2호,,0.00%,5.5% 
716,윈하이텍,444.1:1,55.60%,60.24% 
717,아진엑스텍,478.65:1,0.00%,12.86% 
718,트루윈,,0.00%,61.9% 
719,하나머스트스팩,,0.00%,16.5% 
720,캐스텍코리아,,0.00%,76.92% 
721,유진스팩1호,,0.00%,4.5% 
722,KB스팩2호,,0.00%,3.75% 
723,오이솔루션,,0.00%,100% 
724,인터파크INT,,0.00%,100% 
725,한국정보인증,,0.00%,61.11% 
726,솔루에타,,0.00%,-10% 
727,이지웰페어,,0.00%,59.09% 
728,키움제2호스팩,,0.00%,1% 
729,인트로메딕,,0.00%,11.67% 
730,기가레인(구.맥시스),,0.00%,-10% 
731,알티캐스트,,0.00%,0% 
732,엔브이에이치코리아,,0.00%,-1.33% 
733,현대공업,,0.00%,18% 
734,우리기업인수목적2호,,0.00%,0.25% 
735,디엠티,,0.00%,-8.6% 
736,신송홀딩스,,0.00%,67.69% 
737,램테크놀러지,,0.00%,60.26% 
738,라이온켐텍,,0.00%,13.6% 
739,미동전자통신,,0.00%,-3% 
740,에이씨티,,0.00%,48.15% 
741,해성옵틱스,,0.00%,18.18% 
742,내츄럴엔도텍,,86.16%,100% 
743,테스나,,0.00%,13.33% 
744,파수닷컴,,0.00%,3.45% 
745,엘티씨,,0.00%,21.95% 
746,지엔씨에너지,,82.44%,100% 
747,아미코젠,,0.00%,100% 
748,파이오링크,,0.00%,76.19% 
749,금호N.T,,73.80%,100% 
750,KG이티에스,,0.00%,5.26% 
751,나스미디어,,0.00%,71.02% 
752,엑세스바이오,,0.00%,100% 
753,레고켐바이오사이언스,,8.48%,28.39% 
754,삼목강업,,0.00%,32.31% 
755,세호로보트,,71.50%,79.49% 
756,윈팩,,0.00%,1.25% 
757,코렌텍,,12.53%,-0.31% 
758,제로투세븐,,0.00%,57.23% 
759,지디,,0.00%,39.72% 
760,아이원스,,0.00%,22.22% 
761,우리이앤엘,,0.00%,-10% 
762,아이센스,,0.00%,53.68% 
763,포티스,,0.00%,46.15% 
764,씨에스엘쏠라,,11.31%,25% 
765,SBIAXES(구.AXES홀딩스),,0.00%,-10% 
766,우리로광통신,,0.00%,-10% 
767,디젠스,,0.00%,55.56% 
768,맥스로텍,,0.00%,52.14% 
769,와이엠씨,,0.00%,18.17% 
770,아바텍,,0.00%,66.67% 
771,코이즈,,0.00%,20% 
772,모다정보통신,,0.00%,27.14% 
773,나노스,,0.00%,32.57% 
774,우양에이치씨,,0.00%,-10% 
775,엠씨넥스,,0.00%,-10% 
776,네이블커뮤니케이션즈,,0.00%,10.22% 
777,디지탈옵틱,,0.00%,-5.22% 
778,피엔티,,0.00%,31.18% 
779,비아트론,,0.00%,60.38% 
780,에스비아이모기지,,0.00%,-10% 
781,빛샘전자,,0.00%,100% 
782,사람인에이치알,,0.00%,100% 
783,뉴로스,,0.00%,60% 
784,남화토건,,0.00%,33.33% 
785,동아팜텍,,0.00%,45.83% 
786,원익머트리얼즈,,0.00%,48.15% 
787,나이스디앤비,,0.00%,44.12% 
788,디엔에이링크,,0.00%,100% 
789,시큐브,,0.00%,-10% 
790,서암기계공업,,1.19%,5.26% 
791,씨유메디칼시스템,,0.00%,33.33% 
792,넥스트리밍,,0.00%,-10% 
793,에스에프씨,,0.00%,-10% 
794,티브이로직,,0.00%,-9.58% 
795,사파이어테크놀로지,,0.00%,-10% 
796,신진에스엠,,0.00%,0% 
797,이엠넷,,0.00%,78.13% 
798,와이지엔터테인먼트,,0.00%,100% 
799,쎄미시스코,,0.00%,16.84% 
800,테크윙,,0.00%,30.43% 
801,아이테스트,,0.00%,12.08% 
802,신흥기계,,0.00%,88.24% 
803,씨큐브,,0.00%,21.74% 
804,씨엔플러스,,0.00%,32.17% 
805,테라세미콘,,0.00%,76.3% 
806,케이맥,,0.00%,70.69% 
807,로보스타,,0.00%,34.48% 
808,대한과학,,0.00%,67% 
809,피앤이솔루션,,0.00%,1.38% 
810,화진,,0.00%,47.21% 
811,제이씨케미칼,,0.00%,43.06% 
812,제닉,,0.00%,61.82% 
813,아이씨디,,0.00%,84.71% 
814,경봉,,0.00%,53.52% 
815,상아프론테크,,0.00%,28% 
816,옵티시스,,0.00%,44.74% 
817,나이벡,,0.00%,50% 
818,대양전기공업,,0.00%,24.44% 
819,탑금속,,0.00%,24.92% 
820,쓰리피시스템,,0.00%,0% 
821,완리인터내셔널홀딩스,,0.00%,-6.1% 
822,리켐,,0.00%,30% 
823,넥스트아이,,0.00%,-10% 
824,엘티에스,,0.00%,-10% 
825,케이엠에이치,,0.00%,-10% 
826,골프존,,0.00%,11.06% 
827,이퓨쳐,,0.00%,100% 
828,티케이케미칼,,0.00%,-3% 
829,부스타,,0.00%,-10% 
830,나노신소재,,0.00%,3.24% 
831,케이아이엔엑스,,0.00%,0% 
832,티피씨,,0.00%,34.62% 
833,제이엔케이히터,,0.00%,-9.93% 
834,엘비세미콘,,0.00%,-1.06% 
835,딜리,,0.00%,-5% 
836,블루콤,,0.00%,57.08% 
837,인트론바이오테크놀로지,,0.00%,100% 
838,씨그널정보통신,,0.00%,100% 
839,다나와,,0.00%,84.29% 
840,KB게임(KB스팩),,0.00%,8% 
841,티에스이,,0.00%,48% 
842,인텍플러스,,0.00%,100% 
843,액트,,0.00%,-10% 
844,IBKS스마트스팩,,0.00%,-1% 
845,대정화금,,8.69%,42.39% 
846,동부티에스블랙펄스팩,,0.00%,-1.5% 
847,하이제1호스팩,,0.00%,1.5% 
848,세우테크,,0.00%,18.18% 
849,대구방송,,0.00%,-5.33% 
850,케이티롤,,0.00%,20.74% 
851,시그네틱스,,0.00%,3.85% 
852,한국전자인증,,0.00%,12.5% 
853,코프라,,0.00%,100% 
854,디케이락,,0.00%,-0.27% 
855,하나그린스팩1호,,0.00%,5.25% 
856,케이엔엔,,0.00%,-2.22% 
857,아나패스,,0.00%,4.62% 
858,삼본정밀전자,,0.00%,5.68% 
859,부국퓨쳐스타즈스팩,,0.00%,15% 
860,아이텍반도체,,0.00%,0.55% 
861,누리플랜,,0.00%,52.73% 
862,인화정공,,0.00%,16.15% 
863,코렌,,0.00%,8.62% 
864,아이씨코리아,,0.00%,60.71% 
865,키움제1호스팩,,0.00%,5% 
866,포메탈,,0.00%,-4.83% 
867,성융광전투자,,0.00%,4.29% 
868,다원시스,,0.00%,2.73% 
869,알파칩스,,0.00%,29.17% 
870,와이솔,,0.00%,-10% 
871,이트레이드1호스팩,,0.00%,0.25% 
872,씨젠,,0.00%,-10% 
873,에이치엠씨아이비1호스팩,,0.00%,6% 
874,교보케이티비스팩,,0.00%,-1.25% 
875,에스비아이앤솔로몬드림스팩,,0.00%,-1.2% 
876,대신증권그로쓰알파,,0.00%,-0.5% 
877,한국투자신성장1호스팩,,0.00%,0.45% 
878,엠에스오토텍,,0.00%,100% 
879,이글루시큐리티,,0.00%,-10% 
880,인터로조,,0.00%,-10% 
881,하이텍팜,,0.00%,40.87% 
882,웨이포트(홍콩),,0.00%,-0.36% 
883,크루셜텍,,0.00%,35.74% 
884,에스디시스템,,0.00%,18.24% 
885,한화스팩1호,,0.00%,-0.8% 
886,신영증권스팩1호,,0.00%,6.5% 
887,처음앤씨,,0.00%,-6.92% 
888,유비벨록스,,0.00%,11.36% 
889,케이엔디티앤아이,,0.00%,29.41% 
890,히든챔피언제1호스팩,,0.00%,-2% 
891,솔라시아,,0.00%,90% 
892,실리콘웍스,,0.00%,-0.15% 
893,투비소프트,,0.00%,100% 
894,인피니트헬스케어(구.인피니트테,,0.00%,14.23% 
895,모바일리더,,0.00%,40% 
896,신한제1호스팩,,0.00%,-10% 
897,동아체육용품유한공사,,0.00%,-10% 
898,뉴프라이드,,0.00%,100% 
899,케이씨에스,,0.00%,100% 
900,차이나킹하이웨이,,0.00%,10.81% 
901,디지탈아리아,,0.00%,100% 
902,현대드림투게더,,0.00%,13.33% 
903,미래에셋스팩1호,,0.00%,2.67% 
904,이미지스테크놀로지,,0.00%,0% 
905,인포바인,,0.00%,9.09% 
906,차이나하오란리사이클링,,0.00%,-7.45% 
907,하이소닉,,0.00%,9.23% 
908,에스이티아이,,0.00%,-10% 
909,모베이스,,0.00%,28.79% 
910,에이치디시에스,,0.00%,23.33% 
911,우리넷,,0.00%,47.76% 
912,아세아텍,,0.00%,-2.8% 
913,스타플렉스,,0.00%,4.67% 
914,우노앤컴퍼니,,0.00%,-10% 
915,승화엘엠씨,,0.00%,31.34% 
916,코디에스,,0.00%,55% 
917,아이티엑스시큐리티,,0.00%,23.33% 
918,위메이드엔터테인먼트,,0.00%,-8.06% 
919,KPX라이프사이언스,,0.00%,22.58% 
920,멜파스,,0.00%,4.17% 
921,동양피엔에프,,0.00%,41.67% 
922,디오텍,,0.00%,22.22% 
923,중국엔진집단유한공사,,0.00%,41.67% 
924,이원컴포텍,,0.00%,100% 
925,강원비앤이,,0.00%,6.38% 
926,이너스텍,,0.00%,15% 
927,동방선기,,0.00%,1.38% 
928,디엠씨,,0.00%,-10% 
929,진매트릭스,,0.00%,1.25% 
930,스틸플라워,,0.00%,4.07% 
931,비츠로셀,,0.00%,6.73% 
932,한스바이오메드,,0.00%,30% 
933,네오위즈벅스,,0.00%,-10% 
934,아이앤씨테크놀로지,,0.00%,0% 
935,케이엔더블유,,0.00%,45.45% 
936,모린스,,0.00%,-7.44% 
937,디에스케이,,0.00%,100% 
938,제넥신,,0.00%,12.96% 
939,톱텍,,0.00%,28.37% 
940,동국S&C,,0.00%,-10% 
941,에스앤더블류,,0.00%,49.25% 
942,게임빌,,0.00%,32% 
943,동일금속,,0.00%,25% 
944,어보브반도체,,19.47%,57.58% 
945,조이맥스,,38.64%,100% 
946,차이나그레이트스타인터내셔널리,,14.03%,100% 
947,이엔에프테크놀로지,,21.98%,100% 
948,뉴그리드테크놀로지,,24.60%,100% 
949,해덕선기,,20.41%,100% 
950,서울마린,,13.10%,100% 
951,한국정밀기계,,53.00%,100% 
952,흥국,,5.43%,100% 
953,신텍,,0.00%,100% 
954,티플랙스,,15.70%,100% 
955,우림기계,,2.07%,60% 
956,네프로아이티,,0.00%,100% 
957,엔에스브이,,0.00%,100% 
958,에스티오,,0.00%,100% 
959,뷰웍스,,11.69%,100% 
960,에스앤에스텍,,0.00%,100% 
961,에이테크솔루션,,0.00%,100% 
962,코오롱생명과학,,0.00%,100% 
963,네오피델리티,,0.00%,100% 
964,중국식품포장유한공사,,0.00%,50.67% 
965,이수앱지스,,0.00%,45.45% 
966,유비쿼스,,0.00%,14.75% 
967,대성파인텍,,0.00%,28.43% 
968,메디톡스,,0.00%,-3.57% 
969,엠게임,,0.00%,50% 
970,아이컴포넌트,,0.00%,21% 
971,에너지솔루션즈,,0.00%,40.33% 
972,이크레더블,,34.21%,-10% 
973,심팩에이앤씨,,0.00%,-10% 
974,사이버다임,,0.00%,29.52% 
975,세운메디칼,,21.70%,75% 
976,케이제이프리텍,,0.00%,-6.67% 
977,마이크로컨텍솔루션,,0.00%,75% 
978,삼강엠앤티,,0.00%,24.62% 
979,아이엠,,0.00%,8.74% 
980,코리아에스이,,0.00%,10.91% 
981,한텍엔지니어링,,9.73%,-7.06% 
982,슈프리마,,0.00%,-9.96% 
983,서울옥션,,0.00%,-10% 
984,이스트소프트,,0.00%,63.27% 
985,씨디아이홀딩스,,0.00%,6.36% 
986,윌덱스,,0.00%,-10% 
987,쎄트렉아이,,0.00%,11.63% 
988,브리지텍,,0.00%,3.23% 
989,고영테크놀러지,,0.00%,-10% 
990,제이씨엔터테인먼트,,0.00%,0% 
991,테스,,0.00%,13.24% 
992,우진비앤지,,0.00%,92.5% 
993,세미텍,,0.00%,14.2% 
994,엘디티,,8.95%,90.79% 
995,예스이십사,,0.00%,58.73% 
996,실리콘화일,,0.00%,1.67% 
997,메타바이오메드,,13.57%,38.89% 
998,네패스신소재,,0.00%,73.86% 
999,효성오앤비,,2.00%,32.67% 
1000,제너시스템즈,,25.38%,34.29% 
1001,넥실리온,,0.00%,20% 
1002,네오엠텔,,0.00%,17.65% 
1003,텔레필드,,0.00%,0% 
1004,코웰이홀딩스,,11.16%,-5% 
1005,에스맥,,0.00%,-2.57% 
1006,마이스코,,14.67%,0% 
1007,일신랩,,0.00%,33.33% 
1008,쎄믹스,,0.00%,18.18% 
1009,서원인텍,,0.00%,-8.33% 
1010,이씨에스텔레콤,,0.00%,28% 
1011,대창메탈,,4.40%,30.77% 
1012,미성포리테크,,0.00%,-6.35% 
1013,위즈위드,,24.00%,8.65% 
1014,세실,,27.02%,-10% 
1015,알에프세미,,0.00%,-4.17% 
1016,씨모텍,,22.13%,8.7% 
1017,일진정공,,72.10%,100% 
1018,비엠티,,44.95%,-10% 
1019,현우산업,,0.00%,-4.41% 
1020,이엘케이,,0.00%,-10% 
1021,이엠코리아,,0.00%,10.47% 
1022,다믈멀티미디어,,0.00%,17.78% 
1023,엘지에스,,25.30%,-10% 
1024,에스에너지,,91.00%,100% 
1025,제이엠텔레콤,,0.00%,0% 
1026,성우전자,,74.22%,-10% 
1027,오디텍,,70.00%,-6.8% 
1028,미래나노텍,,0.00%,2.7% 
1029,상보,,55.30%,10% 
1030,네오티스,,0.00%,0% 
1031,아이에스시테크놀러지,,75.18%,-10% 
1032,옴니시스템,,0.00%,10.15% 
1033,바이오톡스텍,,56.78%,43.64% 
1034,연이정보통신,,20.43%,-8.25% 
1035,푸른기술,,0.00%,0% 
1036,웨이브일렉트로닉스,,0.00%,1% 
1037,빅솔론,,81.99%,20% 
1038,3노드디지탈,,0.00%,20% 
1039,넥스지,,86.36%,25% 
1040,에스엔케이폴리텍,,0.00%,40.45% 
1041,아구스,,0.00%,36.9% 
1042,아로마소프트,,0.00%,57.32% 
1043,바로비젼,,0.00%,34.83% 
1044,에코프로,,0.00%,77.78% 
1045,메모리앤테스팅,,0.00%,98.75% 
1046,컴투스,,0.00%,100% 
1047,디지텍시스템스,,99.65%,78.57% 
1048,엔텔스,,91.97%,100% 
1049,풍강,,99.86%,97.3% 
1050,케이프,,99.90%,100% 
1051,동국제약,,99.95%,100% 
1052,상신이디피,,99.74%,100% 
1053,한라레벨,,99.52%,100% 
1054,에버테크노,,96.69%,53.85% 
1055,에프알텍,,91.59%,81.82% 
1056,잘만테크,,99.97%,71.43% 
1057,이엠텍,,0.00%,54.93% 
1058,이트레이드증권,,0.00%,100% 
1059,오스템임플란트,,99.78%,9.33% 
1060,네오팜,,99.97%,51.25% 
1061,비에이치,,14.86%,4.46% 
1062,나노캠텍,,89.46%,85.71% 
1063,오스코텍,,68.39%,44.44% 
1064,켐트로닉스,,59.90%,3.16% 
1065,젯텍,,92.88%,21.43% 
1066,동아엘텍,,63.54%,17% 
1067,디앤티,,53.33%,46.77% 
1068,신양엔지니어링,,99.28%,3.3% 
1069,펜타마이크로,,99.55%,37.25% 
1070,휴온스,,99.90%,83.87% 
1071,파트론,,99.40%,22.29% 
1072,한국컴퓨터,,99.95%,57.45% 
1073,다사테크,,98.41%,100% 
1074,유니테스트,,71.33%,27.27% 
1075,큐에스아이,,98.57%,100% 
1076,에스에이티,,95.58%,100% 
1077,크레듀,,99.97%,100% 
1078,화신테크,,99.94%,100% 
1079,성창에어텍,,97.33%,76.47% 
1080,고려반도체시스템,,99.02%,45.45% 
1081,넥스턴,,98.71%,12.2% 
1082,제이티,,81.40%,48.15% 
1083,광진윈텍,,97.31%,100% 
1084,이녹스,,63.07%,48.15% 
1085,용현비엠,,90.54%,44.44% 
1086,바텍,,61.18%,33.13% 
1087,엠디에스테크놀로지,,89.02%,34.62% 
1088,평산,,99.82%,57.42% 
1089,엘씨텍,,52.74%,100% 
1090,지오텔,,31.04%,-5.61% 
1091,엑스씨이,,63.78%,-8% 
1092,티엘아이,,32.10%,-3.51% 
1093,젠트로,,28.26%,9.09% 
1094,한국전자금융,,99.66%,60.73% 
1095,트라이콤,,5.36%,-10% 
1096,인포뱅크,,0.00%,0.22% 
1097,미디어플렉스,,99.72%,56.25% 
1098,맥스엔지니어링,,0.00%,47.76% 
1099,사이버패스,,0.00%,-6.54% 
1100,팬엔터테인먼트,,0.00%,41.43% 
1101,글로벌에스엠테크리미티드,,0.00%,15.94% 
1102,케이탑리츠,,0.00%,0.91% 
1103,대신밸런스스팩10호,,0.00%,15.25% 
