검색량,기업명,날짜
34.35843,에스퓨얼셀,2018-10-03
100.0,크리스에프앤씨,2018-09-18
47.0909,크리스에프앤씨,2018-09-19
100.0,푸드나무,2018-09-19
40.89363,푸드나무,2018-09-20
100.0,나우아이비캐피탈,2018-09-18
38.10679,나우아이비캐피탈,2018-09-19
100.0,하나제약,2018-09-18
47.13665,하나제약,2018-09-19
92.1875,지티지웰니스,2018-09-13
100.0,지티지웰니스,2018-09-14
100.0,우진아이엔에스,2018-09-06
36.69885,우진아이엔에스,2018-09-07
100.0,명성티엔에스,2018-09-05
59.5898,명성티엔에스,2018-09-06
100.0,디지캡,2018-08-29
53.80951999999999,디지캡,2018-08-30
100.0,액트로,2018-08-17
18.04949,액트로,2018-08-18
100.0,에이피티씨,2018-08-14
23.85406,에이피티씨,2018-08-15
100.0,오파스넷,2018-08-14
23.47517,오파스넷,2018-08-15
100.0,바이오솔루션,2018-08-10
25.29002,바이오솔루션,2018-08-11
100.0,대유,2018-08-02
54.97427,대유,2018-08-03
100.0,에스에스알,2018-07-27
22.99578,에스에스알,2018-07-28
100.0,휴네시온,2018-07-26
40.71969,휴네시온,2018-07-27
100.0,디아이티,2018-07-26
17.47245,디아이티,2018-07-27
100.0,티웨이항공,2018-07-24
85.67918,티웨이항공,2018-07-25
100.0,롯데정보통신,2018-07-18
44.29319,롯데정보통신,2018-07-19
100.0,한국유니온제약,2018-07-18
47.91115,한국유니온제약,2018-07-19
100.0,엠코르셋,2018-07-13
22.29694,엠코르셋,2018-07-14
100.0,올릭스,2018-07-10
53.79746,올릭스,2018-07-11
100.0,아이큐어,2018-07-05
45.75459,아이큐어,2018-07-06
100.0,에스브이인베스트먼트,2018-06-28
45.85551,에스브이인베스트먼트,2018-06-29
100.0,이원다이애그노믹스,2018-06-19
54.69538000000001,이원다이애그노믹스,2018-06-20
100.0,이리츠코크렙기업,2018-06-15
26.89655,이리츠코크렙기업,2018-06-16
100.0,파워넷,2018-05-30
43.92678,파워넷,2018-05-31
100.0,현대사료,2018-05-24
92.63502,현대사료,2018-05-25
100.0,세종메디칼,2018-05-21
28.02491,세종메디칼,2018-05-22
100.0,제노레이,2018-05-17
45.74669,제노레이,2018-05-18
100.0,제이티씨,2018-03-27
55.67685,제이티씨,2018-03-28
100.0,케어랩스,2018-03-20
58.89588000000001,케어랩스,2018-03-21
100.0,애경산업,2018-03-14
66.15163000000001,애경산업,2018-03-15
100.0,린드먼아시아인베스트먼트,2018-03-06
55.59701,린드먼아시아인베스트먼트,2018-03-07
100.0,에코마이스터,2018-03-06
50.35587,에코마이스터,2018-03-07
100.0,엔지켐생명과학,2018-02-09
21.23051,엔지켐생명과학,2018-02-10
100.0,오스테오닉,2018-02-09
20.625,오스테오닉,2018-02-10
100.0,동구바이오제약,2018-02-06
78.20452,동구바이오제약,2018-02-07
100.0,아시아종묘,2018-02-02
47.2693,아시아종묘,2018-02-03
100.0,알리코제약,2018-02-02
42.44359,알리코제약,2018-02-03
100.0,카페24,2018-01-31
82.49934,카페24,2018-02-01
100.0,링크제니시스,2018-01-26
23.7481,링크제니시스,2018-01-27
100.0,배럴,2018-01-23
79.03055,배럴,2018-01-24
100.0,에스지이,2018-01-19
31.60112,에스지이,2018-01-20
100.0,씨앤지하이테크,2018-01-17
43.84173,씨앤지하이테크,2018-01-18
100.0,시스웍,2017-12-15
29.67557,시스웍,2017-12-16
100.0,디바이스이엔지,2017-12-12
54.06301,디바이스이엔지,2017-12-13
100.0,진에어,2017-11-30
88.21927,진에어,2017-12-01
100.0,동양피스톤,2017-11-29
54.60776,동양피스톤,2017-11-30
100.0,메카로,2017-11-28
41.03885,메카로,2017-11-29
100.0,씨티케이코스메틱스,2017-11-28
31.119840000000003,씨티케이코스메틱스,2017-11-29
100.0,에스트래픽,2017-11-24
35.48951,에스트래픽,2017-11-25
100.0,대원,2017-11-24
33.03464,대원,2017-11-25
100.0,체리부로,2017-11-23
