Unnamed: 0,date,기업검색량,기업명
2,2022-07-31,16.69341,나래나노텍
3,2022-08-01,92.29534,나래나노텍
4,2022-08-02,82.42375,나래나노텍
5,2022-08-03,81.05939000000002,나래나노텍
6,2022-08-04,97.35152,나래나노텍
0,2022-07-29,100.0,아셈스
1,2022-07-30,16.18773,아셈스
2,2022-07-31,14.55938,아셈스
3,2022-08-01,79.31034,아셈스
4,2022-08-02,73.46743000000002,아셈스
5,2022-08-03,77.39463,아셈스
6,2022-08-04,74.52107,아셈스
0,2022-07-29,47.05651,스코넥
1,2022-07-30,8.281,스코넥
2,2022-07-31,7.96703,스코넥
3,2022-08-01,40.10989,스코넥
4,2022-08-02,32.65306,스코넥
5,2022-08-03,100.0,스코넥
6,2022-08-04,75.58869,스코넥
0,2022-07-29,17.74736,이지트로닉스
1,2022-07-30,3.54736,이지트로닉스
2,2022-07-31,3.32631,이지트로닉스
3,2022-08-01,13.71578,이지트로닉스
4,2022-08-02,11.87368,이지트로닉스
5,2022-08-03,49.92631,이지트로닉스
6,2022-08-04,100.0,이지트로닉스
0,2022-07-29,92.82543,LG에너지솔루션
1,2022-07-30,15.61502,LG에너지솔루션
2,2022-07-31,12.37719,LG에너지솔루션
3,2022-08-01,79.98288000000002,LG에너지솔루션
4,2022-08-02,66.60723,LG에너지솔루션
5,2022-08-03,98.11186,LG에너지솔루션
6,2022-08-04,100.0,LG에너지솔루션
0,2022-07-29,51.4652,애드바이오텍
1,2022-07-30,15.01831,애드바이오텍
2,2022-07-31,10.98901,애드바이오텍
3,2022-08-01,56.9597,애드바이오텍
4,2022-08-02,55.8608,애드바이오텍
5,2022-08-03,100.0,애드바이오텍
6,2022-08-04,92.12454,애드바이오텍
0,2022-07-29,58.47726,케이옥션
1,2022-07-30,38.13887,케이옥션
2,2022-07-31,32.48149,케이옥션
3,2022-08-01,100.0,케이옥션
4,2022-08-02,79.362,케이옥션
5,2022-08-03,57.0497,케이옥션
6,2022-08-04,65.38597,케이옥션
0,2022-07-29,98.05359,오토앤
1,2022-07-30,14.38645,오토앤
2,2022-07-31,12.21438,오토앤
3,2022-08-01,73.06064,오토앤
4,2022-08-02,100.0,오토앤
5,2022-08-03,60.73342,오토앤
6,2022-08-04,63.77997,오토앤
0,2022-07-29,100.0,래몽래인
1,2022-07-30,29.58074,래몽래인
2,2022-07-31,27.48447,래몽래인
3,2022-08-01,71.04037,래몽래인
4,2022-08-02,68.40061999999999,래몽래인
5,2022-08-03,92.3913,래몽래인
6,2022-08-04,83.92857,래몽래인
0,2022-07-29,95.27559,케이티비네트워크
1,2022-07-30,7.08661,케이티비네트워크
2,2022-07-31,6.29921,케이티비네트워크
3,2022-08-01,93.70078,케이티비네트워크
4,2022-08-02,93.70078,케이티비네트워크
5,2022-08-03,72.44094,케이티비네트워크
6,2022-08-04,100.0,케이티비네트워크
0,2022-07-29,27.62991,툴젠
1,2022-07-30,11.09904,툴젠
2,2022-07-31,8.69092,툴젠
3,2022-08-01,26.63407,툴젠
4,2022-08-02,27.26778,툴젠
5,2022-08-03,29.96559,툴젠
6,2022-08-04,100.0,툴젠
0,2022-07-29,91.41104,신한서부티엔디리츠
1,2022-07-30,23.92638,신한서부티엔디리츠
2,2022-07-31,25.76687,신한서부티엔디리츠
3,2022-08-01,100.0,신한서부티엔디리츠
4,2022-08-02,85.27606999999998,신한서부티엔디리츠
5,2022-08-03,78.5276,신한서부티엔디리츠
6,2022-08-04,85.27606999999998,신한서부티엔디리츠
0,2022-07-29,82.39608,미래에셋글로벌리츠
1,2022-07-30,14.914420000000002,미래에셋글로벌리츠
2,2022-07-31,14.42542,미래에셋글로벌리츠
3,2022-08-01,76.03911,미래에셋글로벌리츠
4,2022-08-02,100.0,미래에셋글로벌리츠
5,2022-08-03,91.44254,미래에셋글로벌리츠
6,2022-08-04,85.81907,미래에셋글로벌리츠
0,2022-07-29,43.28445,마인즈랩
1,2022-07-30,12.02346,마인즈랩
2,2022-07-31,11.67155,마인즈랩
3,2022-08-01,52.66862,마인즈랩
4,2022-08-02,100.0,마인즈랩
5,2022-08-03,79.58944,마인즈랩
6,2022-08-04,79.35483,마인즈랩
0,2022-07-29,100.0,알비더블유
1,2022-07-30,31.64556,알비더블유
2,2022-07-31,28.81012,알비더블유
3,2022-08-01,83.5443,알비더블유
4,2022-08-02,72.35443000000002,알비더블유
5,2022-08-03,71.89873,알비더블유
6,2022-08-04,81.87340999999998,알비더블유
0,2022-07-29,83.33333,바이옵트로
1,2022-07-30,18.01075,바이옵트로
2,2022-07-31,16.93548,바이옵트로
3,2022-08-01,94.08602,바이옵트로
4,2022-08-02,88.70966999999996,바이옵트로
5,2022-08-03,100.0,바이옵트로
6,2022-08-04,100.0,바이옵트로
0,2022-07-29,68.43970999999999,트윔
1,2022-07-30,16.19385,트윔
2,2022-07-31,15.011820000000002,트윔
3,2022-08-01,63.82978000000001,트윔
4,2022-08-02,100.0,트윔
5,2022-08-03,71.98581,트윔
6,2022-08-04,97.16312,트윔
0,2022-07-29,43.63977,지오엘리먼트
1,2022-07-30,11.59474,지오엘리먼트
2,2022-07-31,9.00562,지오엘리먼트
3,2022-08-01,100.0,지오엘리먼트
4,2022-08-02,50.54409,지오엘리먼트
5,2022-08-03,43.60225,지오엘리먼트
6,2022-08-04,37.11069000000001,지오엘리먼트
0,2022-07-29,100.0,NH올원리츠
1,2022-07-30,16.80327,NH올원리츠
2,2022-07-31,18.44262,NH올원리츠
3,2022-08-01,87.29508,NH올원리츠
4,2022-08-02,80.32786,NH올원리츠
5,2022-08-03,72.54098,NH올원리츠
6,2022-08-04,71.31147,NH올원리츠
0,2022-07-29,90.01996,비트나인
1,2022-07-30,26.1477,비트나인
2,2022-07-31,26.5469,비트나인
3,2022-08-01,86.42714000000002,비트나인
4,2022-08-02,93.31337,비트나인
5,2022-08-03,94.41117,비트나인
6,2022-08-04,100.0,비트나인
0,2022-07-29,56.12648000000001,디어유
1,2022-07-30,15.01976,디어유
2,2022-07-31,13.53754,디어유
3,2022-08-01,59.0415,디어유
4,2022-08-02,78.70553000000002,디어유
5,2022-08-03,82.21343,디어유
6,2022-08-04,100.0,디어유
0,2022-07-29,94.80737,아이티아이즈
1,2022-07-30,22.52931,아이티아이즈
2,2022-07-31,23.28308,아이티아이즈
3,2022-08-01,98.32495,아이티아이즈
4,2022-08-02,100.0,아이티아이즈
5,2022-08-03,81.99329,아이티아이즈
6,2022-08-04,68.59295999999999,아이티아이즈
0,2022-07-29,100.0,지니너스
1,2022-07-30,18.66295,지니너스
2,2022-07-31,15.59888,지니너스
3,2022-08-01,60.44568,지니너스
4,2022-08-02,57.52089,지니너스
5,2022-08-03,43.54688,지니너스
6,2022-08-04,42.20055,지니너스
0,2022-07-29,28.27333,카카오페이
1,2022-07-30,9.78468,카카오페이
2,2022-07-31,8.942269999999997,카카오페이
3,2022-08-01,34.81863,카카오페이
4,2022-08-02,41.43597000000001,카카오페이
5,2022-08-03,44.00753,카카오페이
6,2022-08-04,100.0,카카오페이
0,2022-07-29,100.0,피코그램
1,2022-07-30,23.47643,피코그램
2,2022-07-31,19.08462,피코그램
3,2022-08-01,63.69356,피코그램
4,2022-08-02,50.59215,피코그램
5,2022-08-03,45.6452,피코그램
6,2022-08-04,40.19245,피코그램
0,2022-07-29,94.252,엔켐
1,2022-07-30,16.21485,엔켐
2,2022-07-31,15.01004,엔켐
3,2022-08-01,100.0,엔켐
4,2022-08-02,80.22088000000002,엔켐
5,2022-08-03,74.34738,엔켐
6,2022-08-04,82.53012,엔켐
0,2022-07-29,97.51861,리파인
1,2022-07-30,41.31513,리파인
2,2022-07-31,35.48387,리파인
3,2022-08-01,92.80397,리파인
4,2022-08-02,100.0,리파인
5,2022-08-03,98.38709,리파인
6,2022-08-04,96.27791,리파인
0,2022-07-29,86.45833,지앤비에스엔지니어링
1,2022-07-30,16.31944,지앤비에스엔지니어링
2,2022-07-31,29.51388,지앤비에스엔지니어링
3,2022-08-01,99.30555,지앤비에스엔지니어링
4,2022-08-02,90.97222,지앤비에스엔지니어링
5,2022-08-03,99.30555,지앤비에스엔지니어링
6,2022-08-04,100.0,지앤비에스엔지니어링
0,2022-07-29,100.0,아이패밀리에스씨
1,2022-07-30,23.6,아이패밀리에스씨
2,2022-07-31,18.0,아이패밀리에스씨
3,2022-08-01,75.6,아이패밀리에스씨
4,2022-08-02,71.4,아이패밀리에스씨
5,2022-08-03,79.6,아이패밀리에스씨
6,2022-08-04,75.4,아이패밀리에스씨
0,2022-07-29,77.05899000000002,차백신연구소
1,2022-07-30,20.51512,차백신연구소
2,2022-07-31,23.71967,차백신연구소
3,2022-08-01,100.0,차백신연구소
4,2022-08-02,80.1138,차백신연구소
5,2022-08-03,75.86103,차백신연구소
6,2022-08-04,68.34380999999999,차백신연구소
0,2022-07-29,100.0,지아이텍
1,2022-07-30,15.17027,지아이텍
2,2022-07-31,12.82618,지아이텍
3,2022-08-01,70.67669000000002,지아이텍
4,2022-08-02,57.62936,지아이텍
5,2022-08-03,62.05218000000001,지아이텍
6,2022-08-04,93.76382,지아이텍
0,2022-07-29,100.0,씨유테크
1,2022-07-30,22.77121,씨유테크
2,2022-07-31,23.20085,씨유테크
3,2022-08-01,77.76584,씨유테크
4,2022-08-02,67.23952,씨유테크
5,2022-08-03,63.48011999999999,씨유테크
6,2022-08-04,61.65413,씨유테크
0,2022-07-29,14.17917,아스플로
1,2022-07-30,8.04911,아스플로
2,2022-07-31,5.56616,아스플로
3,2022-08-01,26.09367,아스플로
4,2022-08-02,100.0,아스플로
5,2022-08-03,73.57889,아스플로
6,2022-08-04,31.35061,아스플로
0,2022-07-29,100.0,원준
1,2022-07-30,23.20877,원준
2,2022-07-31,21.35755,원준
3,2022-08-01,71.32327,원준
4,2022-08-02,87.9328,원준
5,2022-08-03,59.47891,원준
6,2022-08-04,62.68426,원준
0,2022-07-29,53.8591,케이카
1,2022-07-30,52.39268,케이카
2,2022-07-31,52.75005,케이카
3,2022-08-01,62.88354,케이카
4,2022-08-02,100.0,케이카
5,2022-08-03,75.26391,케이카
6,2022-08-04,72.37215,케이카
0,2022-07-29,92.83034,실리콘투
1,2022-07-30,23.78074,실리콘투
2,2022-07-31,17.85118,실리콘투
3,2022-08-01,67.22592,실리콘투
4,2022-08-02,100.0,실리콘투
5,2022-08-03,55.68986999999999,실리콘투
6,2022-08-04,56.52355,실리콘투
0,2022-07-29,65.60056,프롬바이오
1,2022-07-30,23.27647,프롬바이오
2,2022-07-31,21.0732,프롬바이오
3,2022-08-01,59.55934,프롬바이오
4,2022-08-02,89.37455,프롬바이오
5,2022-08-03,100.0,프롬바이오
6,2022-08-04,62.26011999999999,프롬바이오
0,2022-07-29,100.0,바이오플러스
1,2022-07-30,23.63664,바이오플러스
2,2022-07-31,16.48284,바이오플러스
3,2022-08-01,57.12316,바이오플러스
4,2022-08-02,49.83149,바이오플러스
5,2022-08-03,53.61519000000001,바이오플러스
6,2022-08-04,52.12928,바이오플러스
0,2022-07-29,67.85714,에스앤디
1,2022-07-30,32.73809,에스앤디
2,2022-07-31,30.95238,에스앤디
3,2022-08-01,100.0,에스앤디
4,2022-08-02,82.73809,에스앤디
5,2022-08-03,91.66666,에스앤디
6,2022-08-04,94.04761,에스앤디
0,2022-07-29,79.06492,현대중공업
1,2022-07-30,16.49315,현대중공업
2,2022-07-31,14.56243,현대중공업
3,2022-08-01,100.0,현대중공업
4,2022-08-02,82.0241,현대중공업
5,2022-08-03,74.6861,현대중공업
6,2022-08-04,74.37062,현대중공업
0,2022-07-29,100.0,와이엠텍
1,2022-07-30,21.77966,와이엠텍
2,2022-07-31,16.69491,와이엠텍
3,2022-08-01,77.11864,와이엠텍
4,2022-08-02,59.23728000000001,와이엠텍
5,2022-08-03,80.25423,와이엠텍
6,2022-08-04,68.64406,와이엠텍
0,2022-07-29,32.46866,에이비온
1,2022-07-30,5.62518,에이비온
2,2022-07-31,4.4301900000000005,에이비온
3,2022-08-01,28.03847,에이비온
4,2022-08-02,37.36519000000001,에이비온
5,2022-08-03,100.0,에이비온
6,2022-08-04,72.57359,에이비온
0,2022-07-29,52.87873,SK리츠
1,2022-07-30,12.96236,SK리츠
2,2022-07-31,14.28111,SK리츠
3,2022-08-01,71.69507,SK리츠
4,2022-08-02,100.0,SK리츠
5,2022-08-03,69.37921999999999,SK리츠
6,2022-08-04,95.72209,SK리츠
0,2022-07-29,100.0,일진하이솔루스
