,cor_name,cor_rate,obligation,market_type,listed_date,offer_price,sicho_p,profit_percent,sales,profit,shares_to_pub,sub_rate,pre_demand_day,subs_day,l_exp_offer_price,h_exp_offer_price,score
65,와이엠텍,1696.19,31.59,0,20210910,28000,56000,100.0,17037,3866.0,1.0,2939.57,2021.8.25,2021.9.1,21000,25000,0.61
66,에이비온,139.36,4.3,0,20210908,17000,16800,-1.18,1994,-10476.0,1.0,30.66,2021.8.24,2021.8.31,14500,17000,0.31
67,일진하이솔루스,1471.01,61.52,1,20210901,34300,68600,100.0,113525,15579.0,0.67,654.5,2021.8.19,2021.8.25,25700,34300,0.64
68,브레인즈컴퍼니,1428.8,8.92,0,20210819,25000,50000,100.0,14829,3734.0,0.67,1190.39,2021.8.3,2021.8.10,20000,22500,0.29
69,롯데렌탈,217.63,14.65,1,20210819,59000,57500,-2.54,2100809,23307.0,0.5,65.81,2021.8.3,2021.8.10,47000,59000,0.35
70,딥노이드,1179.07,7.29,0,20210817,42000,72000,71.43,235,-8606.0,1.0,834.86,2021.8.2,2021.8.6,31500,42000,0.14
71,아주스틸,1776.9,16.33,1,20210820,15100,30200,100.0,569794,11709.0,0.58,1419.73,2021.8.2,2021.8.10,12700,15100,0.29
72,플래티어,1631.0,18.29,0,20210812,11000,22000,100.0,39376,2685.0,1.0,2498.8,2021.7.30,2021.8.5,8500,10000,0.29
73,엠로,685.6,6.97,0,20210813,22600,32700,44.69,40302,3389.0,1.0,250.0,2021.7.29,2021.8.5,20100,22600,0.16
74,한컴라이프케어,418.99,3.27,1,20210817,13700,16050,17.15,151842,27690.0,0.33,109.8,2021.7.29,2021.8.6,10700,13700,0.21
75,원티드랩,1503.91,10.98,0,20210811,35000,70000,100.0,14648,-9174.0,0.72,1731.23,2021.7.26,2021.8.3,28000,35000,0.28
76,에이치케이이노엔,1871.36,13.49,0,20210809,59000,68100,15.42,515289,67061.0,0.57,388.9,2021.7.22,2021.7.30,50000,59000,0.15
77,카카오뱅크,1732.83,45.28,1,20210806,39000,53700,37.69,804157,113636.0,1.0,181.1,2021.7.20,2021.7.27,33000,39000,0.29
78,크래프톤,243.15,22.05,1,20210810,498000,448500,-9.94,1670427,556267.0,0.65,7.79,2021.7.14,2021.8.3,400000,498000,0.38
79,에브리봇,576.74,0.67,0,20210728,36700,33050,-9.95,49165,-902.0,0.75,159.42,2021.7.13,2021.7.20,32600,36700,0.34
80,맥스트,1587.01,39.13,0,20210727,15000,30000,100.0,1983,-8921.0,1.0,6762.75,2021.7.12,2021.7.19,11000,13000,0.42
81,에스디바이오센서,1143.76,12.45,1,20210716,52000,57000,9.62,73728,1399.0,0.58,274.02,2021.7.5,2021.7.9,45000,52000,0.55
82,오비고,1123.74,7.68,0,20210713,14300,19200,34.27,10229,-5332.0,1.0,1485.15,2021.6.28,2021.7.2,12400,14300,0.37
83,아모센스,116.79,2.57,0,20210625,12400,12250,-1.21,62028,-1196.0,0.8,26.55,2021.6.10,2021.6.16,12400,15200,0.28
84,이노뎁,1573.93,6.05,0,20210618,18000,22200,23.33,60760,1653.0,1.0,692.12,2021.6.3,2021.6.10,14000,18000,0.37
85,라온테크,1526.2,8.9,0,20210617,18000,20250,12.5,12632,-1432.0,1.0,779.1,2021.5.31,2021.6.8,12800,15800,0.38
86,엘비루셈,1419.23,4.48,0,20210611,14000,18000,28.57,209770,17105.0,0.67,824.51,2021.5.26,2021.6.3,12000,14000,0.56
87,에이디엠코리아,1515.98,12.35,0,20210603,3800,7600,100.0,10206,653.0,1.0,2345.4,2021.5.17,2021.5.26,2900,3300,0.51
88,제주맥주,1356.43,5.47,0,20210526,3200,4780,49.38,7317,-13955.0,1.0,1747.82,2021.5.10,2021.5.14,2600,2900,0.32
89,삼영에스앤씨,1762.39,15.27,0,20210521,11000,22000,100.0,14489,633.0,1.0,2392.84,2021.5.6,2021.5.12,7800,10000,0.49
90,진시스템,934.07,1.5,0,20210526,20000,19100,-4.5,1135,-4041.0,1.0,354.58,2021.5.6,2021.5.14,16000,20000,0.3
91,샘씨엔에스,1537.67,26.07,0,20210520,6500,6400,-1.54,20985,556.0,0.83,1104.29,2021.5.3,2021.5.11,5000,5700,0.29
92,씨앤씨인터내셔널,1029.14,5.28,0,20210517,47500,47250,-0.53,81598,6637.0,0.6,898.0,2021.4.28,2021.5.7,35000,47500,0.39
93,에이치피오,252.13,4.12,0,20210514,22200,20000,-9.91,58604,8761.0,0.75,95.01,2021.4.27,2021.5.4,22200,25400,0.3
94,SK아이이테크놀로지,1882.88,63.2,1,20210511,105000,210000,100.0,263037,63684.0,1.0,288.17,2021.4.22,2021.4.29,78000,105000,0.37
95,쿠콘,1594.61,30.9,0,20210428,45000,80000,77.78,39526,8382.0,0.81,1596.32,2021.4.13,2021.4.20,31000,40000,0.3
96,해성티피씨,1508.95,16.05,0,20210421,13000,26000,100.0,15327,-1518.0,1.0,2053.27,2021.4.6,2021.4.13,9500,11500,0.2
97,이삭엔지니어링,1427.15,20.73,0,20210421,11500,23000,100.0,32759,2679.0,1.0,2262.09,2021.4.6,2021.4.13,9500,11500,0.53
98,엔시스,1467.73,21.73,0,20210401,19000,38000,100.0,31884,1912.0,0.71,2573.6,2021.3.16,2021.3.23,13000,16500,0.31
99,자이언트스텝,1691.65,24.42,0,20210324,11000,22000,100.0,12839,-4430.0,1.0,2342.0,2021.3.9,2021.3.16,9000,11000,0.4
100,제노코,1452.49,22.15,0,20210324,36000,65000,80.56,32927,2198.0,1.0,2095.45,2021.3.9,2021.3.16,27000,33000,0.31
101,라이프시맨틱스,1402.17,3.78,0,20210323,12500,25000,100.0,1162,-3963.0,1.0,1774.57,2021.3.8,2021.3.12,9000,12500,0.37
102,SK바이오사이언스,1275.47,59.92,1,20210318,65000,130000,100.0,183938,14677.0,0.67,335.36,2021.3.4,2021.3.10,49000,65000,0.24
103,바이오다인,1364.85,8.8,0,20210317,30000,40000,33.33,4089,-2026.0,1.0,48.36,2021.3.2,2021.3.9,22500,28700,0.22
104,싸이버원,1303.1,9.7,0,20210311,9500,18000,89.47,22372,1903.0,0.44,1880.43,2021.2.24,2021.3.3,7600,8300,0.39
105,프레스티지바이오로직스,369.91,6.5,0,20210311,12400,12100,-2.42,185,-22057.0,1.0,126.06,2021.2.23,2021.3.3,8700,12400,0.51
