,기업명,매출액(백만원),순이익(백만원),구주매출,청약경쟁률(:1),확정공모가(원),경쟁률(:1),의무보유확약(:1),시초/공모%(수익률),동향,점수,합계,총점,시장 종류,상장일,현재가,공모가(원),시초가(원),종가,희망공모가(최저),희망공모가(최고)
90,피엔에이치테크,7127.0,-7627.0,0.72,1528.76,18000,1454.47,9.58,13.89,0.82,7,39,0.1794871794871795,kosdaq,20210216,18050,18000,20500,23850,14000.0,17000.0
91,아이퀘스트,13153.0,3650.0,1.0,2853.34,11000,1504.02,18.7,100.0,0.89,7,28,0.25,kosdaq,20210205,9490,11000,22000,20000,9200.0,10600.0
92,와이더플래닛,34760.0,-1452.0,1.0,1357.98,16000,1449.22,9.59,55.63,0.88,9,40,0.225,kosdaq,20210203,7850,16000,24900,20000,12000.0,15000.0
93,레인보우로보틱스,1694.0,-5497.0,1.0,1201.26,10000,1489.9,19.9,100.0,0.86,12,51,0.2352941176470588,kosdaq,20210203,29300,10000,20000,26000,7000.0,9000.0
94,모비릭스,40340.0,6189.0,1.0,1485.51,14000,1407.53,5.73,100.0,1.0,12,49,0.2448979591836734,kosdaq,20210128,17100,14000,28000,36400,10500.0,14000.0
95,핑거,60015.0,3174.0,0.76,939.39,16000,1453.12,12.64,100.0,0.8,12,60,0.2,kosdaq,20210129,12800,16000,32000,29100,13000.0,15000.0
96,씨앤투스성진,47481.0,-430.0,1.0,674.04,32000,1010.02,1.7,-0.94,0.75,3,38,0.0789473684210526,kosdaq,20210128,5610,32000,31700,28700,26000.0,32000.0
97,선진뷰티사이언스,47403.0,4333.0,0.66,1987.74,11500,1431.0,17.83,100.0,1.0,-1,42,-0.0238095238095238,kosdaq,20210127,6380,11500,23000,29900,10100.0,11500.0
98,엔비티,45058.0,744.0,1.0,4397.67,19000,1425.3,10.7,100.0,1.0,7,44,0.1590909090909091,kosdaq,20210121,7430,19000,38000,36500,13200.0,17600.0
99,석경에이티,6403.0,1111.0,1.0,1751.58,10000,1390.29,6.68,100.0,0.89,4,44,0.0909090909090909,kosdaq,20201223,18850,10000,20000,26000,8000.0,10000.0
100,프리시젼바이오,2409.0,-706.0,1.0,1557.29,12500,1231.23,1.62,100.0,0.89,11,53,0.2075471698113207,kosdaq,20201222,7490,12500,25000,32500,10500.0,12500.0
101,지놈앤컴퍼니,46.0,-84669.0,0.9,1175.1,40000,1163.49,9.08,100.0,0.9,10,59,0.1694915254237288,kosdaq,20201223,19900,40000,80000,68800,36000.0,40000.0
102,알체라,3291.0,-11416.0,1.0,1322.58,10000,1315.61,3.88,100.0,0.88,7,28,0.25,kosdaq,20201221,15250,10000,20000,26000,8000.0,10000.0
103,에프앤가이드,21083.0,3479.0,0.6,1353.9,7000,1327.98,7.6,100.0,0.88,7,71,0.0985915492957746,kosdaq,20201217,8090,7000,14000,12850,5200.0,6500.0
104,티엘비,149136.0,9473.0,0.89,1551.19,38000,1318.82,6.1,99.74,0.88,7,34,0.2058823529411764,kosdaq,20201214,40700,38000,75900,54500,33200.0,38000.0
105,인바이오,33736.0,1020.0,1.0,1414.15,5800,1386.04,8.23,100.0,0.87,8,30,0.2666666666666666,kosdaq,20201211,5570,5800,11600,12200,5100.0,5800.0
106,퀀타매트릭스,811.0,-63811.0,1.0,167.87,25500,185.56,4.6,-1.76,0.86,7,45,0.1555555555555555,kosdaq,20201209,6530,25500,25050,24100,19700.0,25500.0
107,엔젠바이오,1478.0,-6865.0,1.0,1502.4,14000,1006.96,3.33,100.0,0.86,8,40,0.2,kosdaq,20201210,9660,14000,28000,25650,10500.0,14000.0
108,앱코,84271.0,3474.0,0.8,978.13,24300,1141.02,3.64,24.07,0.88,5,58,0.0862068965517241,kosdaq,20201202,11700,24300,30150,28900,21400.0,24300.0
109,클리노믹스,4101.0,-5760.0,1.0,341.46,13900,494.2,2.05,33.09,0.89,1,45,0.0222222222222222,kosdaq,20201204,8610,13900,18500,19000,10900.0,13900.0
110,엔에프씨,32860.0,6572.0,1.0,643.85,13400,979.94,6.15,54.48,0.88,0,22,0.0,kosdaq,20201202,10800,13400,20700,16950,10200.0,13400.0
111,포인트모바일,62181.0,8494.0,0.84,1842.97,15000,1447.07,18.19,100.0,0.89,8,53,0.1509433962264151,kosdaq,20201203,18100,15000,30000,30550,13000.0,15000.0
112,제일전기공업,146148.0,14127.0,0.5,1396.1,17000,1196.21,8.86,100.0,0.87,0,29,0.0,kosdaq,20201126,12100,17000,34000,28650,15000.0,17000.0
113,티앤엘,32655.0,7286.0,1.0,1109.19,36000,338.91,0.41,100.0,0.85,2,38,0.0526315789473684,kosdaq,20201120,38600,36000,72000,54000,34000.0,38000.0
114,하나기술,59294.0,4317.0,1.0,1802.1,35000,1393.98,16.83,100.0,0.86,-1,27,-0.037037037037037,kosdaq,20201125,56200,35000,70000,91000,31000.0,35000.0
115,고바이오랩,577.0,-44067.0,1.0,566.54,15000,64.33,0.03,100.0,0.82,-1,42,-0.0238095238095238,kosdaq,20201118,14050,15000,30000,31300,18000.0,23000.0
116,네패스아크,54719.0,4653.0,1.0,830.21,26500,707.7,1.6,36.6,0.8,-1,24,-0.0416666666666666,kosdaq,20201117,29500,26500,36200,38700,23400.0,26500.0
117,소룩스,71108.0,5794.0,0.8200000000000001,1660.08,10000,1135.7,0.8,100.0,0.75,12,29,0.4137931034482758,kosdaq,20201106,8810,10000,20000,26000,8000.0,10000.0
118,위드텍,58061.0,11129.0,1.0,1185.51,25000,1336.49,23.53,48.4,0.71,-7,31,-0.2258064516129032,kosdaq,20201030,15550,25000,37100,41100,21000.0,25000.0
119,센코,19835.0,-2411.0,0.8200000000000001,366.42,13000,848.37,2.2,2.69,0.67,2,40,0.05,kosdaq,20201029,14100,13000,13350,15250,10000.0,13000.0
120,바이브컴퍼니,16298.0,-777.0,1.0,1266.22,28000,1221.45,7.96,42.86,0.6,-2,54,-0.037037037037037,kosdaq,20201028,33300,28000,40000,31300,23000.0,28000.0
121,미코바이오메드,4098.0,-13172.0,1.0,41.74,15000,159.15,0.02,7.33,0.5,-9,46,-0.1956521739130435,kosdaq,20201022,11600,15000,16100,13700,12000.0,15000.0
122,넥스틴,9394.0,-2625.0,1.0,13.92,75400,30.25,23.3,-5.7,0.0,-1,20,-0.05,kosdaq,20201008,63200,75400,71100,71600,61500.0,75400.0
123,방테크,118882.0,14592.0,0.3,348.77,54300,406.8,3.2,-9.94,0.83,0,32,0.0,kosdaq,20200924,11050,54300,48900,43700,43000.0,54300.0
124,비나텍,42763.0,4405.0,1.0,1386.85,33000,1098.1,22.47,33.33,0.86,-3,29,-0.1034482758620689,kosdaq,20200923,44400,33000,44000,40750,27000.0,32000.0
125,압타머사이언스,408.0,-3853.0,1.0,1251.29,25000,830.32,3.27,15.4,0.92,0,47,0.0,kosdaq,20200916,10900,25000,28850,27750,20000.0,25000.0
126,비비씨,19073.0,5653.0,0.78,464.19,30700,977.5,3.9,-9.93,0.88,8,40,0.2,kosdaq,20200921,11300,30700,27650,22300,27100.0,30700.0
127,핌스,37783.0,5544.0,0.7000000000000001,1161.84,19000,1210.28,4.39,10.53,0.92,0,31,0.0,kosdaq,20200918,14500,19000,21000,18300,15000.0,19000.0
