,cor_name,sales,profit,shares_to_pub,sub_rate,cor_rate,obligation,score,sum,t_score,market_type,listed_date,current_price,offer_price,h_exp_offer_price,l_exp_offer_price,target,st_price,end_price,search_amt,Trend
79,바이오다인,4089,-2026,1.0,48.36,1364.85,8.8,3,31,0.0969999999999999,0,20210317,28200,30000,22500,28700,42600,40000,33.33,-0.072,0.84
80,프레스티지바이오로직스,185,-22057,1.0,126.06,369.91,6.5,-3,53,-0.057,0,20210311,4970,12400,8700,12400,14300,12100,-2.42,0.573,0.88
81,나노씨엠에스,3978,-1691,1.0,1243.48,1295.75,6.65,5,20,0.25,0,20210309,32750,20000,14500,18500,23950,33000,65.0,-0.031,0.87
82,뷰노,162,-5913,1.0,1102.7,1457.21,23.8,4,38,0.105,0,20210226,8050,21000,15000,19500,32150,32900,56.67,0.153,0.86
83,씨이랩,7089,62,1.0,195.53,1371.37,12.97,0,27,0.0,0,20210224,13550,35000,23000,31000,40800,46600,33.14,0.062,0.83
84,오로스테크놀로지,26901,7570,1.0,1033.82,1260.0,37.12,5,28,0.179,0,20210224,15650,21000,17000,21000,54600,42000,100.0,-0.098,0.82
85,유일에너테크,47015,8164,0.71,683.55,1427.69,61.06,3,32,0.094,0,20210225,15300,16000,11000,14000,34500,32000,100.0,-0.021,0.85
86,피엔에이치테크,7127,-7627,0.72,1528.76,1454.47,9.58,7,39,0.179,0,20210216,18050,18000,14000,17000,23850,20500,13.89,0.09,0.8
87,아이퀘스트,13153,3650,1.0,2853.34,1504.02,18.7,7,28,0.25,0,20210205,9490,11000,9200,10600,20000,22000,100.0,-0.024,0.88
88,와이더플래닛,34760,-1452,1.0,1357.98,1449.22,9.59,9,40,0.225,0,20210203,7850,16000,12000,15000,20000,24900,55.63,-0.178,0.86
89,레인보우로보틱스,1694,-5497,1.0,1201.26,1489.9,19.9,12,51,0.235,0,20210203,29300,10000,7000,9000,26000,20000,100.0,0.137,0.83
90,모비릭스,40340,6189,1.0,1485.51,1407.53,5.73,12,49,0.245,0,20210128,17100,14000,10500,14000,36400,28000,100.0,-0.025,1.0
91,핑거,60015,3174,0.76,939.39,1453.12,12.64,12,60,0.2,0,20210129,12800,16000,13000,15000,29100,32000,100.0,-0.062,0.75
92,씨앤투스성진,47481,-430,1.0,674.04,1010.02,1.7,3,38,0.079,0,20210128,5610,32000,26000,32000,28700,31700,-0.94,-0.066,1.0
93,선진뷰티사이언스,47403,4333,0.66,1987.74,1431.0,17.83,-1,42,-0.024,0,20210127,6380,11500,10100,11500,29900,23000,100.0,-0.035,1.0
94,엔비티,45058,744,1.0,4397.67,1425.3,10.7,7,44,0.159,0,20210121,7430,19000,13200,17600,36500,38000,100.0,-0.025,0.9
95,석경에이티,6403,1111,1.0,1751.58,1390.29,6.68,4,44,0.091,0,20201223,18850,10000,8000,10000,26000,20000,100.0,0.075,0.89
96,프리시젼바이오,2409,-706,1.0,1557.29,1231.23,1.62,11,53,0.208,0,20201222,7490,12500,10500,12500,32500,25000,100.0,-0.112,0.88
97,지놈앤컴퍼니,46,-84669,0.9,1175.1,1163.49,9.08,10,59,0.1689999999999999,0,20201223,19900,40000,36000,40000,68800,80000,100.0,0.094,0.89
98,알체라,3291,-11416,1.0,1322.58,1315.61,3.88,7,28,0.25,0,20201221,15250,10000,8000,10000,26000,20000,100.0,-0.109,0.88
99,에프앤가이드,21083,3479,0.6,1353.9,1327.98,7.6,7,71,0.099,0,20201217,8090,7000,5200,6500,12850,14000,100.0,-0.064,0.88
100,티엘비,149136,9473,0.89,1551.19,1318.82,6.1,7,34,0.206,0,20201214,40700,38000,33200,38000,54500,75900,99.74,-0.07,0.87
101,인바이오,33736,1020,1.0,1414.15,1386.04,8.23,8,30,0.267,0,20201211,5570,5800,5100,5800,12200,11600,100.0,-0.066,0.86
102,퀀타매트릭스,811,-63811,1.0,167.87,185.56,4.6,7,45,0.156,0,20201209,6530,25500,19700,25500,24100,25050,-1.76,-0.17,0.9
103,엔젠바이오,1478,-6865,1.0,1502.4,1006.96,3.33,8,40,0.2,0,20201210,9660,14000,10500,14000,25650,28000,100.0,0.751,0.86
104,앱코,84271,3474,0.8,978.13,1141.02,3.64,5,58,0.086,0,20201202,11700,24300,21400,24300,28900,30150,24.07,-0.12,0.87
105,클리노믹스,4101,-5760,1.0,341.46,494.2,2.05,1,45,0.022,0,20201204,8610,13900,10900,13900,19000,18500,33.09,0.021,0.89
106,엔에프씨,32860,6572,1.0,643.85,979.94,6.15,0,22,0.0,0,20201202,10800,13400,10200,13400,16950,20700,54.48,-0.052,0.88
