,cor_name,cor_rate,obligation
275,신영스팩6호,,0.00%
276,위세아이텍,1105.93:1,6.95%
277,케이비스팩20호,,0.00%
278,하나금융스팩15호,,0.00%
279,천랩,51.11:1,0.00%
280,한화플러스스팩1호,,0.00%
281,피피아이,997.33:1,2.47%
282,브릿지바이오테라퓨틱스,58.85:1,0.06%
283,엔에이치스팩15호,,0.00%
284,메탈라이프,1288.21,22.46%
285,메드팩토,86.41:1,13.83%
286,하이스팩5호,,0.00%
287,대신밸런스스팩8호,,0.00%
288,유안타스팩6호,,0.00%
289,신테카바이오,75.61:1,1.32%
290,제이엘케이인스펙션,69.81:1,0.00%
291,IBKS스팩12호,,0.00%
292,태웅로직스,1024.98:1,2.53%
293,에스케이스팩5호,,0.00%
294,리메드,24.76:1,0.00%
295,코리아센터,37.77:1,6.04%
296,IBKS스팩11호,,0.00%
297,유안타스팩5호,,0.00%
298,엔에이치프라임리츠,711.65:1,43.20%
299,노터스,699.46:1,0.59%
300,센트랄모텍,862.63:1,0.00%
301,티움바이오,37.3:1,0.00%
302,우양,1195.37:1,0.00%
303,코리아에셋투자증권,945.66:1,2.25%
304,현대에너지솔루션,26.63:1,3.07%
305,씨에스베어링,1246.86:1,4.65%
306,에스제이그룹,946.62:1,13.56%
307,제테마,12.41:1,0.00%
308,라파스,202.06:1,0.00%
309,아이티엠반도체,1078.5:1,15.80%
310,미래에셋대우스팩4호,,0.00%
311,자이에스앤디,768.58:1,5.10%
312,한화시스템,23.61:1,4.24%
313,하나금융스팩14호,,0.00%
314,지누스,45.68:1,13.73%
315,티라유텍,1240.9:1,11.90%
316,미디어젠,576.27:1,1.88%
317,신한스팩6호,,0.00%
318,캐리소프트,924.83:1,2.70%
319,케이엔제이,"1,144.3:1",5.50%
320,교보스팩9호,,0.00%
321,엔바이오니아,425.80:1,3.80%
322,팜스빌,"1,035.53:1",7.05%
323,라온피플,330.36:1,1.50%
324,아톤,810.88:1,9.50%
325,대신밸런스스팩7호,,0.00%
326,녹십자웰빙,657.93:1,4.49%
327,롯데리츠,358.06:1,44.07%
328,유진스팩5호,,0.00%
329,케이비스팩19호,,0.00%
330,올리패스,11.07:1,0.40%
331,라닉스,51.68:1,0.00%
332,하나금융스팩13호,,0.00%
333,한독크린텍,1117.61:1,8.77%
334,상상인이안스팩2호,540.20:1,0.00%
335,네오크레마,96.6:1,0.00%
336,나노브릭,39.3:1,0.00%
337,미래에셋대우스팩3호,,0.00%
338,에스피시스템스,1116.32:1,13.68%
339,레이,1013.19,10.27%
340,코윈테크,163.54:1,0.90%
341,그린플러스,863.94:1,5.85%
342,세경하이테크,10.71:1,0.00%
343,덕산테코피아,348.63:1,7.17%
344,한국바이오젠,"1,087.6:1",0.00%
345,슈프리마아이디,1124.05:1,13.14%
346,윌링스,1082.15:1,18.18%
347,대모(구.대모엔지니어링),1103.1:1,15.60%
348,에이스토리,614.25:1,3.56%
349,플리토,1133:1,22.00%
350,세틀뱅크,1122:1,14.80%
351,이베스트이안스팩1호,,0.00%
352,아이스크림에듀,124.73:1,1.34%
353,펌텍코리아,5.75:1,0.00%
354,에이에프더블류,866.03:1,13.72%
355,신영스팩5호,,0.00%
356,케이비스팩18호,,0.00%
357,신한스팩5호,,0.00%
358,압타바이오,856.41:1,35.10%
359,까스텔바쟉,32.53:1,3.86%
360,디비금융스팩7호,,0.00%
361,마이크로디지탈,621.48:1,2.29%
362,유진스팩4호,,0.00%
363,컴퍼니케이파트너스,865.66:1,27.80%
364,수젠텍,75.21:1,3.15%
365,엔에이치스팩14호,,0.00%
366,에스앤케이,317.30:1,11.59%
367,한화에스비아이스팩,,0.00%
368,하이스팩4호,,0.00%
369,현대오토에버,797.36:1,57.79%
370,케이비스팩17호,,0.00%
371,아모그린텍,164.22:1,3.05%
372,지노믹트리,372:1,22.80%
373,이지케어텍,1108.03:1,40.25%
374,유안타스팩4호,,0.00%
375,미래에셋벤처투자,441.4:1,3.70%
376,드림텍,395.96:1,0.80%
377,에코프로비엠,988.49:1,45.04%
378,셀리드,778.77:1,10.49%
379,천보,891.1:1,15.80%
380,이노테라피,154.44:1,2.83%
381,노랑풍선,978.43:1,12.42%
382,웹케시,614:1,6.80%
383,에어부산,23.89:1,0.40%
384,키움스팩5호,,0.00%
385,비피도,74.62:1,0.00%
386,엔에이치스팩13호,,0.00%
387,유틸렉스,597.20:1,18.63%
388,디케이티,771.42:1,3.50%
389,에이비엘바이오,60.08:1,10.99%
390,위지윅스튜디오,177.33:1,1.13%
391,미래에셋대우스팩2호,,0.00%
392,한국스팩8호,,0.00%
