,cor_name,market_type,listed_date,offer_price,sicho_p,profit_percent,first_p
201,디비금융스팩8호,kosdaq,20201209,2000,1985,-0.75%,1985
202,명신산업(유가),kospi,20201207,6500,13000,100%,16900
203,클리노믹스,kosdaq,20201204,13900,18500,33.09%,19000
204,포인트모바일,kosdaq,20201203,15000,30000,100%,30550
205,엔에프씨,kosdaq,20201202,13400,20700,54.48%,16950
206,앱코,kosdaq,20201202,24300,30150,24.07%,28900
207,제일전기공업,kosdaq,20201126,17000,34000,100%,28650
208,하나기술,kosdaq,20201125,35000,70000,100%,91000
209,티앤엘,kosdaq,20201120,36000,72000,100%,54000
210,에이플러스에셋어드바이저(유가),kospi,20201120,7500,8100,8%,6880
211,고바이오랩,kosdaq,20201118,15000,30000,100%,31300
212,네패스아크,kosdaq,20201117,26500,36200,36.6%,38700
213,교촌에프앤비(유가),kospi,20201112,12300,23850,93.9%,31000
214,소룩스,kosdaq,20201106,10000,20000,100%,26000
215,위드텍,kosdaq,20201030,25000,37100,48.4%,41100
216,센코,kosdaq,20201029,13000,13350,2.69%,15250
217,바이브컴퍼니,kosdaq,20201028,28000,40000,42.86%,31300
218,미코바이오메드,kosdaq,20201022,15000,16100,7.33%,13700
219,피플바이오,kosdaq,20201019,20000,18000,-10%,23400
220,하이브(구.빅히트)(유가),kospi,20201015,135000,270000,100%,258000
221,넥스틴,kosdaq,20201008,75400,71100,-5.7%,71600
222,원방테크,kosdaq,20200924,54300,48900,-9.94%,43700
223,엔에이치스팩17호,kosdaq,20200923,2000,2005,0.25%,1995
224,비나텍,kosdaq,20200923,33000,44000,33.33%,40750
225,박셀바이오,kosdaq,20200922,30000,27000,-10%,21300
226,비비씨,kosdaq,20200921,30700,27650,-9.93%,22300
227,교보스팩10호,kosdaq,20200918,2000,2020,1%,2005
228,핌스,kosdaq,20200918,19000,21000,10.53%,18300
229,압타머사이언스,kosdaq,20200916,25000,28850,15.4%,27750
230,이오플로우,kosdaq,20200914,19000,21750,14.47%,20000
231,카카오게임즈,kosdaq,20200910,24000,48000,100%,62400
232,피엔케이피부임상연구센타,kosdaq,20200909,18300,28000,53.01%,26800
233,코람코에너지플러스리츠(유가),kospi,20200831,5000,4800,-4%,4735
234,미래에셋대우스팩5호,kosdaq,20200828,2000,2000,0%,2010
235,아이디피,kosdaq,20200824,9800,13200,34.69%,12500
236,셀레믹스,kosdaq,20200821,20000,24900,24.5%,25800
237,미투젠,kosdaq,20200818,27000,29100,7.78%,25500
238,브랜드엑스코퍼레이션,kosdaq,20200813,13000,12900,-0.77%,11700
239,영림원소프트랩,kosdaq,20200812,11500,17600,53.04%,13650
240,한국파마,kosdaq,20200810,9000,18000,100%,16850
241,제이알글로벌리츠(유가),kospi,20200807,5000,4700,-6%,4825
242,이루다,kosdaq,20200806,9000,18000,100%,17650
243,이지스레지던스리츠(유가),kospi,20200805,5000,4500,-10%,4190
244,미래에셋맵스리츠1호(유가),kospi,20200805,5000,4500,-10%,4350
245,와이팜,kosdaq,20200731,11000,15550,41.36%,18800
246,이엔드디,kosdaq,20200730,14400,18200,26.39%,21000
247,엠투아이,kosdaq,20200729,15600,18850,20.83%,15900
248,에이치엠씨아이비스팩4호,kosdaq,20200729,2000,2010,0.5%,2000
249,더네이쳐홀딩스,kosdaq,20200727,46000,41400,-10%,43000
250,제놀루션,kosdaq,20200724,14000,28000,100%,24750
251,솔트룩스,kosdaq,20200723,25000,40000,60%,34300
252,하나금융스팩16호,kosdaq,20200723,2000,2020,1%,2020
253,티에스아이,kosdaq,20200722,10000,20000,100%,17200
254,이지스밸류플러스리츠(유가),kospi,20200716,5000,4800,-4%,4410
255,에이프로,kosdaq,20200716,21600,43200,100%,56100
256,IBKS스팩13호,kosdaq,20200715,2000,2010,0.5%,2010
257,소마젠,kosdaq,20200713,11000,11650,5.91%,15100
258,신도기연,kosdaq,20200706,16000,32000,100%,22400
259,위더스제약,kosdaq,20200703,15900,31800,100%,34400
260,SK바이오팜(유가),kospi,20200702,49000,98000,100%,127000
261,마크로밀엠브레인,kosdaq,20200701,6800,13600,100%,16050
262,젠큐릭스,kosdaq,20200625,22700,25100,10.57%,21650
263,IBKS스팩14호,kosdaq,20200622,2000,2010,0.5%,2010
264,엘이티,kosdaq,20200622,7800,15600,100%,20250
265,에스씨엠생명과학,kosdaq,20200617,17000,29500,73.53%,36100
266,엔에이치스팩16호,kosdaq,20200617,2000,2005,0.25%,2005
267,드림씨아이에스,kosdaq,20200522,14900,28000,87.92%,30500
268,이베스트스팩5호,kosdaq,20200520,2000,2000,0%,2000
269,케이프이에스스팩4호,kosdaq,20200324,2000,2005,0.25%,1980
270,엔피디,kosdaq,20200316,5400,4860,-10%,3775
271,플레이디,kosdaq,20200312,8500,11250,32.35%,8800
272,에스케이스팩6호,kosdaq,20200311,2000,2025,1.25%,2010
273,서울바이오시스,kosdaq,20200306,7500,13000,73.33%,11100
274,제이앤티씨,kosdaq,20200304,11000,10200,-7.27%,10350
