,cor_name,market_type,listed_date,offer_price,sicho_p,profit_percent
175,신한스팩7호,kosdaq,20210204,2000,2020,1%
176,와이더플래닛,kosdaq,20210203,16000,24900,55.63%
177,레인보우로보틱스,kosdaq,20210203,10000,20000,100%
178,솔루엠(유가),kospi,20210202,17000,34000,100%
179,핑거,kosdaq,20210129,16000,32000,100%
180,씨앤투스성진,kosdaq,20210128,32000,31700,-0.94%
181,모비릭스,kosdaq,20210128,14000,28000,100%
182,선진뷰티사이언스,kosdaq,20210127,11500,23000,100%
183,엔비티,kosdaq,20210121,19000,38000,100%
184,한국스팩9호,kosdaq,20210121,2000,2020,1%
185,유안타스팩7호,kosdaq,20201228,2000,2010,0.5%
186,지놈앤컴퍼니,kosdaq,20201223,40000,80000,100%
187,대신밸런스스팩9호,kosdaq,20201223,2000,2020,1%
188,석경에이티,kosdaq,20201223,10000,20000,100%
189,이에스알켄달스퀘어리츠(유가),kospi,20201223,5000,4970,-0.6%
190,프리시젼바이오,kosdaq,20201222,12500,25000,100%
191,알체라,kosdaq,20201221,10000,20000,100%
192,엔에이치스팩18호,kosdaq,20201221,2000,2025,1.25%
193,에프앤가이드,kosdaq,20201217,7000,14000,100%
194,에이치엠씨아이비스팩5호,kosdaq,20201216,2000,2000,0%
195,티엘비,kosdaq,20201214,38000,75900,99.74%
196,인바이오,kosdaq,20201211,5800,11600,100%
197,엔젠바이오,kosdaq,20201210,14000,28000,100%
198,퀀타매트릭스,kosdaq,20201209,25500,25050,-1.76%
199,디비금융스팩8호,kosdaq,20201209,2000,1985,-0.75%
200,명신산업(유가),kospi,20201207,6500,13000,100%
201,클리노믹스,kosdaq,20201204,13900,18500,33.09%
202,포인트모바일,kosdaq,20201203,15000,30000,100%
203,엔에프씨,kosdaq,20201202,13400,20700,54.48%
204,앱코,kosdaq,20201202,24300,30150,24.07%
205,제일전기공업,kosdaq,20201126,17000,34000,100%
206,하나기술,kosdaq,20201125,35000,70000,100%
207,티앤엘,kosdaq,20201120,36000,72000,100%
208,에이플러스에셋어드바이저(유가),kospi,20201120,7500,8100,8%
209,고바이오랩,kosdaq,20201118,15000,30000,100%
210,네패스아크,kosdaq,20201117,26500,36200,36.6%
211,교촌에프앤비(유가),kospi,20201112,12300,23850,93.9%
212,소룩스,kosdaq,20201106,10000,20000,100%
213,위드텍,kosdaq,20201030,25000,37100,48.4%
214,센코,kosdaq,20201029,13000,13350,2.69%
215,바이브컴퍼니,kosdaq,20201028,28000,40000,42.86%
216,미코바이오메드,kosdaq,20201022,15000,16100,7.33%
217,피플바이오,kosdaq,20201019,20000,18000,-10%
218,하이브(구.빅히트)(유가),kospi,20201015,135000,270000,100%
219,넥스틴,kosdaq,20201008,75400,71100,-5.7%
220,원방테크,kosdaq,20200924,54300,48900,-9.94%
221,엔에이치스팩17호,kosdaq,20200923,2000,2005,0.25%
222,비나텍,kosdaq,20200923,33000,44000,33.33%
