,cor_name,title
0,쏘카,"쏘카, 청약 첫날 경쟁률 3대1 수준… 증거금 424억원"
1,쏘카,"대성하이텍, 일반 청약증거금 4조원…쏘카, 첫날 경쟁률 3대1(종합)"
2,쏘카,[시그널] 쏘카의 부진…더 멀어진 마켓컬리 상장
3,쏘카,"'수요 예측 부진' 쏘카, 공모가 낮춰 코스피 데뷔한다"
4,쏘카,"쏘카 우리사주 청약 늘었다…전체 공모물량의 8%, LG엔솔이후 처음"
5,쏘카,"쏘카, 공모주 일반청약 10일~11일…상장일은?"
6,쏘카,‘모빌리티 슈퍼 앱’ 꿈꾸는 쏘카[마켓인사이트]
7,쏘카,"SK證 ""쏘카 공모가 2만8000원 상승 여력 있다…연내 흑자전환 가능"""
8,쏘카,"'1조 밸류' 무너진 쏘카, 상장 강행 이유는 ‘모빌리티 사업 한계’"
9,쏘카,"쏘카, 공모가 2만8,000원 확정…364만 주 공모"
0,쏘카,"상장 앞둔 쏘카, 일반 청약도 참패… 경쟁률 14대 1"
1,쏘카,"우리사주 청약률 39% 그친 쏘카, 제2의 크래프톤 되나"
2,쏘카,쏘카도 이런데… 마켓컬리 상장 '불안불안'
3,쏘카,쏘카 상장…‘얻은 것’과 ‘잃은 것’
4,쏘카,쏘카 박재욱 대표가 몸값을 38% 낮춰 IPO를 강행하는 이유는?
5,쏘카,"[시그널] IPO 침체에 청약 풍속도 급변…쏘카, 실권주 전부 기관에 할당"
6,쏘카,쏘카 '흥행 참패'에도...케이뱅크 '혹한기 IPO' 강행할까
7,쏘카,"[속보]쏘카 공모주 청약 일정, 첫날 아쉬운 경쟁률...상장일 따상 가능할까?"
8,쏘카,"[더벨]IPO 강행 쏘카, 원스토어·SK쉴더스와 다른 처지"
9,쏘카,"증시침체에 IPO 줄줄이 철회… 쏘카, 몸값 1조 아래로 이달 상장"
0,에이치와이티씨,[특징주] 에이치와이티씨 주가 주춤...이유는?
1,에이치와이티씨,"에이치와이티씨, 시간외에서 강세 보여…도대체 왜?"
2,에이치와이티씨,"에이치와이티씨, 코스닥 입성… 2차전지 훈풍 이끈다"
3,에이치와이티씨,[여의도 클라쓰] 의료용 대마 관련주 '우리바이오'ㆍ2차전지 제조장비 초정밀...
4,에이치와이티씨,"쏘카 참패에도…코스닥 입성 에이치와이티씨, 상한가(종합)"
5,에이치와이티씨,"[특징주] 에이치와이티씨, 코스닥 상장 첫날 공모가 안팎 거래"
6,에이치와이티씨,[핫스탁]제노포커스·에이치와이티씨
7,에이치와이티씨,[특징주] 에이치와이티씨(HYTC) 이틀 연속 '상승세'...이유는?
8,에이치와이티씨,"[급등주]에이치와이티씨 주가, 상장일 3일 지나자 상한가 직행"
9,에이치와이티씨,"에이치와이티씨, 공모가 최상단 1만5000원 확정"
0,에이치와이티씨,[초대석] 조동석 에이치와이티씨 대표이사
1,에이치와이티씨,"[더벨][IPO 모니터]""에이치와이티씨, 합리적 밸류...매출편중은 리스크"""
2,에이치와이티씨,"에이치와이티, 8월 코스닥 출사표… ""글로벌 2차전지 장비 도약"""
3,에이치와이티씨,"2차전지 관련주 새빗켐 에이치와이티씨, 성일하이텍 공모주 열풍 이을까"
4,에이치와이티씨,"[시그널] 상장 눈 앞 HYTC, 공모자금 300억 모두 재투자"
5,에이치와이티씨,메트로신문-7월 22일자 한줄뉴스
6,에이치와이티씨,20兆 몰린 성일하이텍…하반기 2차전지社 IPO흥행 이을까
7,에이치와이티씨,[7월23일자] 비즈니스포스트 아침의 주요기사
0,에이치와이티씨,2차전지 IPO 투심 녹인다… 새빗켐·HYTC 등 증시 출사표 잇따라
1,에이치와이티씨,"침체된 IPO 시장서 빛난 소·부·장 존재감, 하반기에도 지속?"
2,에이치와이티씨,냉온탕 오가는 IPO 시장…흥행 키워드는 '2차전지'
0,에이치와이티씨,"새빗켐·에이치와이티씨, 이번주 공모청약…어떤 기업?"
1,에이치와이티씨,2차전지 '공모주 듀오' 출격…새빗켐·에이치와이티씨 일반청약
2,에이치와이티씨,새빗켐·에이치와이티씨 일반청약
3,에이치와이티씨,"새빗켐·에이치와이티씨, 일반 공모서 흥행할까"
4,에이치와이티씨,[공시줍줍]공모주달력 7월 25일~29일
5,에이치와이티씨,[이번 주 IPO] 7월 넷째 주 수요예측·청약 일정
6,에이치와이티씨,[증시캘린더]이번주(7월4주)성일하이텍 상장·새빗켐 공모 등
7,에이치와이티씨,LG엔솔 '물량폭탄 주의보'...카카오페이 전철 밟을까
0,에이치와이티씨,"이번주 공모주 청약, 새빗켐·에이치와이티씨 등 2개사"
1,에이치와이티씨,[7월 넷째 주 공모주 일정] 7월 넷째 주 공모주 새빗켐·에이치와이티씨 일정...
2,에이치와이티씨,[이번 주 증시 캘린더] 성일하이텍 28일 상장…증거금만 20조원
3,에이치와이티씨,"2차전지株, 얼어붙은 IPO 시장에 훈풍 불러올까"
